episode,steps,hit_count,total_reward,epsilon
1,168,94,-1879.27,0.9950
2,252,140,-2706.57,0.9900
3,116,58,-1155.77,0.9851
4,350,188,-3776.57,0.9801
5,271,149,-2988.57,0.9752
6,301,181,-3528.17,0.9704
7,247,131,-2527.37,0.9655
8,612,356,-7055.37,0.9607
9,87,35,-594.57,0.9559
10,441,235,-4625.37,0.9511
11,204,112,-2142.57,0.9464
12,264,136,-2629.77,0.9416
13,218,110,-2105.77,0.9369
14,287,143,-2772.97,0.9323
15,217,117,-2244.17,0.9276
16,189,99,-1882.47,0.9230
17,266,138,-2669.77,0.9183
18,74,36,-611.77,0.9138
19,175,85,-1602.17,0.9092
20,164,78,-1461.67,0.9046
21,50,22,-330.07,0.9001
22,183,93,-1762.17,0.8956
23,135,67,-1237.77,0.8911
24,171,95,-1799.37,0.8867
25,54,26,-409.77,0.8822
26,120,64,-1175.37,0.8778
27,109,53,-955.67,0.8734
28,67,29,-471.77,0.8691
29,99,55,-992.97,0.8647
30,52,28,-449.27,0.8604
31,61,31,-510.47,0.8561
32,73,29,-472.97,0.8518
33,81,39,-672.87,0.8476
34,113,51,-916.87,0.8433
35,82,34,-573.77,0.8391
36,83,41,-712.87,0.8349
37,130,58,-1058.87,0.8307
38,87,43,-752.97,0.8266
39,97,49,-873.77,0.8225
40,94,44,-774.47,0.8183
41,152,68,-1261.27,0.8143
42,127,61,-1117.67,0.8102
43,54,24,-370.47,0.8061
44,109,57,-1034.87,0.8021
45,44,20,-289.27,0.7981
46,55,21,-311.27,0.7941
47,48,16,-210.87,0.7901
48,88,42,-733.67,0.7862
49,61,31,-510.47,0.7822
50,95,45,-794.17,0.7783
51,94,36,-615.77,0.7744
52,73,31,-512.87,0.7706
53,46,18,-250.07,0.7667
54,68,30,-492.07,0.7629
55,79,33,-553.37,0.7591
56,60,22,-331.77,0.7553
57,42,18,-249.27,0.7515
58,48,20,-290.07,0.7477
59,47,21,-309.67,0.7440
60,54,22,-330.87,0.7403
61,42,14,-170.07,0.7366
62,55,25,-390.47,0.7329
63,52,26,-409.67,0.7292
64,44,18,-249.67,0.7256
65,52,20,-290.87,0.7220
66,87,45,-792.87,0.7183
67,84,40,-693.27,0.7148
68,59,19,-272.47,0.7112
69,57,25,-390.57,0.7076
70,76,28,-454.07,0.7041
71,65,27,-431.77,0.7006
72,55,21,-310.97,0.6971
73,71,29,-472.87,0.6936
74,61,27,-431.27,0.6901
75,50,22,-329.77,0.6867
76,77,33,-552.97,0.6832
77,75,31,-513.27,0.6798
78,66,28,-452.07,0.6764
79,61,33,-550.07,0.6730
80,44,16,-210.07,0.6697
81,39,13,-149.67,0.6663
82,73,25,-393.77,0.6630
83,38,14,-169.27,0.6597
84,42,16,-209.67,0.6564
85,65,25,-392.17,0.6531
86,53,19,-271.27,0.6498
87,35,11,-109.27,0.6466
88,41,13,-150.07,0.6433
89,38,10,-90.07,0.6401
90,43,11,-110.87,0.6369
91,53,19,-271.27,0.6337
92,52,16,-211.37,0.6306
93,47,15,-190.57,0.6274
94,45,15,-190.17,0.6243
95,47,19,-270.07,0.6212
96,45,21,-309.27,0.6181
97,39,11,-110.07,0.6150
98,43,19,-269.27,0.6119
99,36,10,-89.37,0.6088
100,31,9,-68.87,0.6058
101,41,17,-229.27,0.6028
102,36,12,-129.27,0.5997
103,33,13,-148.47,0.5967
104,31,9,-68.87,0.5938
105,37,13,-149.27,0.5908
106,44,18,-249.67,0.5878
107,38,14,-169.27,0.5849
108,31,5,10.33,0.5820
109,41,13,-150.07,0.5791
110,33,9,-68.97,0.5762
111,55,23,-350.87,0.5733
112,43,11,-110.87,0.5704
113,26,6,-8.47,0.5676
114,29,9,-68.47,0.5647
115,32,8,-49.27,0.5619
116,30,8,-48.87,0.5591
117,33,7,-29.37,0.5563
118,38,10,-89.77,0.5535
119,35,11,-109.27,0.5508
120,29,9,-68.47,0.5480
