x,y,Q_up,Q_down,Q_left,Q_right
1,1,12.1858,12.0855,12.0921,33.9057
2,1,13.7343,13.7369,31.3633,35.5929
3,1,36.6764,14.5507,32.2228,14.7779
3,2,37.7139,32.8599,15.7635,15.7073
3,3,16.8478,34.3407,38.8450,16.8323
2,3,19.3995,19.3874,41.5621,36.5427
1,3,44.4497,22.1680,22.1502,39.3553
1,4,46.0297,40.7271,23.4239,23.6650
1,5,25.3047,42.2285,25.2868,47.7348
2,5,26.8055,26.7693,44.1292,49.2962
3,5,28.3558,28.3312,45.5286,50.9307
4,5,30.0448,30.0367,47.2136,52.6903
5,5,31.7837,31.8441,49.0064,54.5670
6,5,33.7569,33.8137,50.5927,56.7004
7,5,35.9316,35.9395,52.8044,58.9198
8,5,38.2435,38.1934,55.0029,61.3307
9,5,63.9368,40.6383,57.2514,40.6909
9,6,66.2609,59.5067,42.9060,42.9099
9,7,68.7608,61.5301,45.2617,45.3073
9,8,71.4212,64.2271,47.8455,47.8157
9,9,50.5666,65.6200,50.5246,74.2932
10,9,53.5392,53.5268,69.5881,77.4166
11,9,56.7927,56.7891,72.6392,80.8440
12,9,60.3955,60.3748,76.0737,84.6345
13,9,88.8602,79.7704,79.7558,64.4068
13,8,85.0373,76.3958,60.4808,60.0303
13,7,81.4081,72.1068,55.9109,56.4366
13,6,77.7096,60.8530,37.2227,42.1201
13,5,71.3539,46.6586,33.5034,38.0094
12,5,-12.7366,6.7120,5.7311,46.1373
13,10,92.3900,82.9321,67.7485,67.7580
13,11,96.0994,86.4764,71.2846,71.2844
13,12,100.0000,90.0493,74.9961,74.9981
11,5,2.5349,2.9120,0.0000,28.2350
11,4,10.4886,-0.1761,0.0000,0.0000
11,3,1.6490,0.0000,-0.0900,0.0000
10,3,-18.6826,-14.8814,0.0000,0.1353
11,6,0.0000,8.6322,0.0000,-14.6442
