episode,steps,hit_count,total_reward,epsilon
1,804,462,-10850.32,0.9950
2,497,295,-6662.12,0.9900
3,976,73,-12241.74,0.9850
4,543,289,-6724.97,0.9801
5,251,145,-3307.22,0.9752
6,319,171,-3839.62,0.9703
7,173,103,-2203.62,0.9655
8,2180,1220,-29298.17,0.9607
9,145,73,-1563.72,0.9559
10,281,163,-3859.27,0.9511
11,275,317,-3476.57,0.9464
12,197,131,-3100.67,0.9417
13,60,157,-421.97,0.9370
14,241,131,-2917.87,0.9323
15,435,261,-6116.77,0.9276
16,975,512,-11921.07,0.9230
17,381,191,-4354.37,0.9184
18,489,253,-5955.57,0.9138
19,132,64,-1321.07,0.9092
20,617,314,-7252.97,0.9047
21,941,498,-11457.37,0.9002
22,294,164,-3692.17,0.8957
23,171,90,-2001.27,0.8912
24,280,129,-2847.47,0.8867
25,97,50,-1007.87,0.8823
26,110,53,-1059.57,0.8779
27,187,93,-1957.77,0.8735
28,187,102,-2150.67,0.8691
29,102,48,-971.07,0.8648
30,352,171,-3860.17,0.8604
31,458,198,-4548.87,0.8561
32,76,35,-646.17,0.8519
33,298,152,-3374.07,0.8476
34,181,87,-1883.77,0.8434
35,132,61,-1244.97,0.8392
36,156,71,-1525.80,0.8350
37,162,71,-1477.97,0.8308
38,268,134,-3022.37,0.8266
39,101,42,-840.27,0.8225
40,65,25,-419.57,0.8184
41,332,160,-3582.87,0.8143
42,107,49,-761.97,0.8102
43,89,41,-802.27,0.8062
44,225,100,-2134.67,0.8021
45,195,81,-1760.67,0.7981
46,104,48,-914.07,0.7941
47,145,63,-1290.97,0.7902
48,38,12,-130.87,0.7862
49,86,40,-846.57,0.7823
50,120,58,-1169.07,0.7784
51,110,54,-1177.77,0.7745
52,92,41,-791.27,0.7706
53,75,29,-298.37,0.7668
54,178,81,-1535.67,0.7629
55,44,15,-12.87,0.7591
56,49,17,-258.07,0.7553
57,56,22,-382.37,0.7515
58,66,29,-288.67,0.7478
59,59,27,-446.07,0.7440
60,167,58,-1258.17,0.7403
61,255,117,-2752.47,0.7366
62,100,43,-835.07,0.7329
63,78,35,-680.27,0.7293
64,159,67,-1219.97,0.7256
65,106,46,-970.07,0.7220
66,203,87,-1991.87,0.7184
67,69,27,-471.37,0.7148
68,54,18,-264.87,0.7112
69,40,13,-174.17,0.7077
70,84,31,-576.47,0.7041
71,44,16,-213.37,0.7006
72,77,33,-635.97,0.6971
73,60,25,-408.57,0.6936
74,76,43,-784.37,0.6901
75,52,25,-378.47,0.6867
76,43,13,-174.77,0.6833
77,38,14,-171.37,0.6798
78,49,16,-240.27,0.6764
79,63,21,-328.77,0.6731
80,51,21,-358.27,0.6697
81,47,14,5.13,0.6663
82,56,22,-367.07,0.6630
83,36,7,-69.37,0.6597
84,36,14,-169.07,0.6564
85,62,18,-80.67,0.6531
86,44,12,-132.37,0.6499
87,45,16,-234.67,0.6466
88,44,11,-152.37,0.6434
89,53,20,-336.87,0.6402
90,84,34,-651.57,0.6370
91,46,15,-0.57,0.6338
92,48,15,-217.47,0.6306
93,37,14,-192.07,0.6274
94,54,22,-360.97,0.6243
95,32,10,106.23,0.6212
96,93,38,-738.17,0.6181
97,33,7,-48.57,0.6150
98,44,14,-274.07,0.6119
99,43,14,-218.47,0.6089
100,36,10,108.23,0.6058
101,30,5,-8.27,0.6028
102,41,10,-132.27,0.5998
103,31,9,-170.17,0.5968
104,48,24,-382.37,0.5938
105,44,18,-257.77,0.5908
106,34,8,-50.87,0.5879
107,38,16,-216.17,0.5850
108,38,10,-94.37,0.5820
109,53,21,-297.87,0.5791
110,22,2,71.53,0.5762
111,62,28,-471.17,0.5733
112,32,12,-129.97,0.5705
113,54,12,-143.27,0.5676
114,31,9,-70.17,0.5648
115,46,10,-100.27,0.5620
116,39,15,-193.97,0.5592
117,41,13,-153.87,0.5564
118,40,12,-133.17,0.5536
119,46,16,-216.07,0.5508
120,76,34,-613.07,0.5481
121,46,14,-179.87,0.5453
122,37,11,-113.27,0.5426
123,38,14,-174.07,0.5399
124,44,14,-177.27,0.5372
125,30,8,-49.57,0.5345
126,37,13,-152.77,0.5318
127,31,11,-109.67,0.5292
128,29,5,9.93,0.5265
129,39,15,-194.87,0.5239
130,35,9,27.33,0.5213
131,35,13,-150.17,0.5187
132,28,8,-48.47,0.5161
133,36,12,-131.57,0.5135
134,36,12,-132.77,0.5109
135,35,7,-34.67,0.5084
136,46,18,-257.97,0.5058
137,31,7,-30.07,0.5033
138,31,5,9.43,0.5008
139,35,9,-70.37,0.4983
140,35,13,-151.37,0.4958
141,27,5,10.43,0.4933
142,25,5,110.93,0.4908
143,40,10,-93.07,0.4884
144,33,9,-71.57,0.4859
145,55,15,-204.57,0.4835
146,34,6,-12.57,0.4811
147,33,11,-110.17,0.4787
148,32,10,-89.87,0.4763
149,43,13,-154.37,0.4739
150,36,10,-92.97,0.4715
151,38,16,-211.97,0.4692
152,22,2,71.53,0.4668
153,51,15,-202.17,0.4645
154,30,8,-49.27,0.4622
155,43,7,-36.97,0.4599
156,37,9,-75.57,0.4576
157,29,5,9.03,0.4553
158,28,6,-9.27,0.4530
159,35,7,-30.57,0.4507
160,28,6,-9.57,0.4485
161,56,20,-302.47,0.4462
162,43,13,-156.67,0.4440
163,23,1,91.33,0.4418
164,35,11,-113.07,0.4396
165,29,7,-29.27,0.4374
166,31,9,-71.37,0.4352
167,28,6,-9.57,0.4330
168,31,9,-70.77,0.4309
169,35,9,-70.87,0.4287
170,26,4,31.03,0.4266
171,29,7,-30.47,0.4244
172,27,5,11.03,0.4223
173,34,10,-91.27,0.4202
174,23,1,91.33,0.4181
175,31,11,-111.47,0.4160
176,33,11,-110.17,0.4139
177,22,2,71.53,0.4118
178,25,5,10.63,0.4098
179,31,7,-29.77,0.4077
180,33,11,-109.87,0.4057
181,36,6,-12.17,0.4037
182,28,6,-9.67,0.4017
183,29,7,-29.27,0.3996
184,37,11,-113.57,0.3976
185,38,12,-132.07,0.3957
186,28,6,-8.67,0.3937
187,41,15,-191.77,0.3917
188,37,9,-71.97,0.3898
189,28,8,-49.07,0.3878
190,24,4,31.53,0.3859
191,42,14,-173.87,0.3839
192,24,4,31.23,0.3820
193,37,11,-112.07,0.3801
194,34,8,-53.57,0.3782
195,30,8,-48.77,0.3763
196,29,5,8.73,0.3744
197,27,7,-29.07,0.3726
198,31,9,-69.27,0.3707
199,40,12,-132.87,0.3688
200,30,8,-50.17,0.3670
201,22,2,71.53,0.3652
202,25,5,11.53,0.3633
203,33,9,-71.57,0.3615
204,21,1,91.53,0.3597
205,30,6,-11.27,0.3579
206,32,8,-50.07,0.3561
207,33,9,-72.17,0.3543
208,30,10,-89.07,0.3526
209,21,1,91.53,0.3508
210,25,5,11.23,0.3491
211,24,4,31.53,0.3473
212,31,5,9.63,0.3456
213,22,2,71.53,0.3438
214,31,7,-30.67,0.3421
215,23,3,51.53,0.3404
216,36,10,-90.27,0.3387
217,24,2,71.53,0.3370
218,24,4,31.23,0.3353
219,28,6,-8.97,0.3337
220,27,5,10.43,0.3320
221,22,2,71.53,0.3303
222,28,6,-8.77,0.3287
223,27,5,10.73,0.3270
224,25,1,90.83,0.3254
225,32,10,-90.47,0.3238
226,22,2,71.53,0.3222
227,23,3,51.53,0.3205
228,24,4,31.23,0.3189
229,30,4,30.03,0.3173
230,34,8,-52.97,0.3158
231,28,6,-9.57,0.3142
232,22,2,71.53,0.3126
233,23,3,51.53,0.3110
234,29,7,-29.87,0.3095
235,24,4,31.53,0.3079
236,23,1,91.33,0.3064
237,26,4,30.73,0.3049
238,23,3,51.23,0.3034
239,28,6,-10.17,0.3018
240,24,4,31.53,0.3003
241,28,6,-9.67,0.2988
242,24,4,31.23,0.2973
243,24,4,31.53,0.2958
244,25,5,10.63,0.2944
245,36,8,-51.77,0.2929
246,24,4,31.53,0.2914
247,22,2,71.53,0.2900
248,23,3,51.53,0.2885
249,27,7,-29.07,0.2871
250,27,3,50.73,0.2856
251,26,4,31.33,0.2842
252,22,2,71.53,0.2828
253,26,4,31.03,0.2814
254,25,5,11.23,0.2800
255,27,7,-28.47,0.2786
256,25,3,51.33,0.2772
257,31,3,50.03,0.2758
258,23,3,51.53,0.2744
259,28,8,-48.77,0.2730
260,25,5,11.23,0.2717
261,27,7,-29.37,0.2703
262,26,4,30.43,0.2690
263,29,5,10.23,0.2676
264,28,8,-49.07,0.2663
265,23,3,51.23,0.2650
266,24,2,71.03,0.2636
267,27,3,49.03,0.2623
268,25,1,91.13,0.2610
269,29,9,-71.47,0.2597
270,22,2,71.53,0.2584
271,20,0,111.53,0.2571
272,23,3,51.53,0.2558
273,23,3,51.53,0.2545
274,22,2,71.23,0.2533
275,26,4,31.33,0.2520
276,22,2,71.53,0.2507
277,23,1,91.33,0.2495
278,23,3,51.23,0.2482
279,25,5,11.53,0.2470
280,23,3,51.53,0.2458
281,35,11,-111.87,0.2445
282,23,3,51.53,0.2433
283,25,3,51.03,0.2421
284,23,3,51.23,0.2409
285,20,0,111.53,0.2397
286,23,3,51.23,0.2385
287,24,4,31.53,0.2373
288,23,3,51.53,0.2361
289,24,4,31.53,0.2349
290,32,8,-51.87,0.2337
291,22,2,71.53,0.2326
292,30,6,-9.27,0.2314
293,21,1,91.53,0.2303
294,21,1,91.53,0.2291
295,25,5,11.53,0.2280
296,21,1,91.53,0.2268
297,21,1,91.53,0.2257
298,21,1,91.53,0.2246
