x,y,Q_up,Q_down,Q_left,Q_right
1,1,20.3898,-0.6226,-0.6602,-0.6242
1,2,21.3927,18.5916,0.2638,0.3058
1,3,21.7248,19.3252,0.5031,0.5912
1,4,22.1198,19.6175,0.9910,0.9444
1,5,1.3888,20.1330,1.4064,22.5796
2,5,1.6367,1.5942,20.0289,22.7901
3,5,1.8683,23.0477,18.9493,1.8692
3,4,22.2606,24.8788,3.6138,3.5785
3,3,23.8922,26.8131,5.3772,5.4317
3,2,25.6851,28.8804,7.4102,7.3851
3,1,27.7433,9.5132,9.5031,31.0678
4,1,10.3389,10.3437,28.2785,31.9805
5,1,11.2770,11.1893,29.5317,32.9565
6,1,12.1941,12.2469,29.9726,34.0323
7,1,13.2440,13.4126,30.9176,35.2096
8,1,14.6410,14.6697,32.3823,36.5142
9,1,16.0524,16.0338,32.9717,37.9831
10,1,17.5528,17.5286,35.4391,39.6151
11,1,19.2422,19.2312,37.0799,41.3858
12,1,21.1233,21.0961,38.2011,43.3315
13,1,45.4651,23.1349,40.7448,23.1311
13,2,46.7003,41.8714,24.3261,24.1982
13,3,25.5761,42.7369,47.9985,25.4439
12,3,27.8877,27.9059,50.4646,45.1735
11,3,30.4751,30.3816,53.1609,47.7620
10,3,33.3067,33.3063,56.1276,50.3847
9,3,59.3225,36.3472,36.3327,52.6896
9,4,61.3685,54.7938,38.2843,38.2748
9,5,40.3100,55.7839,40.3396,63.5395
10,5,43.0345,42.9970,59.6672,66.3538
11,5,45.9405,45.9177,62.2918,69.4269
12,5,49.0673,49.1414,65.4611,72.7870
13,5,76.4536,52.4534,68.7818,52.6267
13,6,79.3240,71.2561,55.3433,55.3446
13,7,82.3392,73.9628,58.2158,58.2225
13,8,85.5064,76.7412,61.2414,61.2107
13,9,88.8516,79.9288,64.4139,64.4050
13,10,92.3829,83.1730,67.7653,67.7650
13,11,96.0829,86.5337,71.2909,71.2879
13,12,99.9999,90.0195,74.9989,74.9984
