episode,steps,hit_count,total_reward,epsilon
1,2291,1319,-30468.27,0.9950
2,498,284,-6431.27,0.9900
3,625,335,-7695.17,0.9851
4,1448,768,-17510.77,0.9801
5,569,327,-7592.17,0.9752
6,2446,1308,-29964.27,0.9704
7,790,424,-9603.07,0.9655
8,192,104,-2163.87,0.9607
9,2215,1195,-27523.87,0.9559
10,2039,1129,-25831.07,0.9511
11,165,93,-1951.07,0.9464
12,157,79,-1680.97,0.9416
13,645,361,-8409.87,0.9369
14,429,245,-5475.59,0.9322
15,746,418,-9667.67,0.9276
16,206,106,-2284.97,0.9229
17,180,100,-2177.97,0.9183
18,325,173,-3885.07,0.9137
19,284,164,-3613.77,0.9092
20,271,141,-3096.57,0.9046
21,215,105,-2199.97,0.9001
22,239,129,-2733.07,0.8956
23,320,166,-3685.07,0.8911
24,225,107,-2289.07,0.8867
25,75,33,-574.07,0.8822
26,118,54,-1070.07,0.8778
27,470,214,-4790.27,0.8734
28,184,100,-2137.27,0.8691
29,249,127,-2783.57,0.8647
30,143,61,-1192.37,0.8604
31,198,96,-2003.17,0.8561
32,130,70,-1375.57,0.8518
33,278,136,-3078.17,0.8475
34,146,62,-1255.77,0.8433
35,149,67,-1370.77,0.8391
36,181,87,-1856.57,0.8349
37,143,71,-1507.97,0.8307
38,196,88,-1909.27,0.8266
39,91,45,-817.37,0.8224
40,130,64,-1296.87,0.8183
41,442,206,-4730.27,0.8142
42,74,26,-429.77,0.8102
43,137,67,-1355.77,0.8061
44,185,77,-1606.67,0.8021
45,126,54,-1071.37,0.7981
46,145,71,-1410.67,0.7941
47,317,147,-3301.57,0.7901
48,106,46,-860.07,0.7862
49,114,42,-824.77,0.7822
50,109,51,-981.47,0.7783
51,136,56,-1097.17,0.7744
52,82,30,-524.57,0.7705
53,118,56,-1098.77,0.7667
54,130,60,-1176.57,0.7629
55,80,32,-571.07,0.7590
56,185,95,-1971.47,0.7553
57,89,45,-866.37,0.7515
58,140,56,-1165.97,0.7477
59,165,73,-1602.47,0.7440
60,72,30,-511.87,0.7403
61,106,40,-789.27,0.7366
62,228,94,-1991.57,0.7329
63,134,56,-1148.07,0.7292
64,81,39,-699.67,0.7256
65,93,39,-723.67,0.7219
66,108,48,-954.77,0.7183
67,94,38,-720.07,0.7147
68,116,44,-893.27,0.7112
69,180,90,-1906.87,0.7076
70,151,61,-1263.57,0.7041
71,268,110,-2352.37,0.7005
72,94,40,-745.47,0.6970
73,80,30,-518.67,0.6936
74,53,17,-232.17,0.6901
75,80,36,-643.87,0.6866
76,70,26,-422.77,0.6832
77,156,64,-1291.77,0.6798
78,107,41,-788.37,0.6764
79,53,15,-200.07,0.6730
80,111,47,-890.97,0.6696
81,100,32,-647.47,0.6663
82,86,36,-651.97,0.6630
83,49,17,-229.87,0.6597
84,114,48,-901.27,0.6564
85,199,81,-1772.27,0.6531
86,82,30,-516.17,0.6498
87,109,51,-968.37,0.6466
88,138,52,-1033.47,0.6433
89,72,22,-369.17,0.6401
90,158,62,-1327.77,0.6369
91,100,40,-744.27,0.6337
92,72,16,-240.47,0.6306
93,78,28,-477.27,0.6274
