x,y,Q_up,Q_down,Q_left,Q_right
1,1,10.9413,10.8688,10.9315,32.7136
2,1,12.4340,12.5398,30.1036,34.4242
3,1,35.5189,13.3784,30.3236,13.5595
3,2,36.5248,31.1533,14.5399,14.4108
3,3,15.6095,33.3332,37.6977,15.6130
2,3,17.9731,18.1439,40.4383,35.4851
1,3,43.4302,20.9640,20.9141,38.4895
1,4,45.0947,39.7481,22.3628,22.5722
1,5,24.0680,41.6311,24.2114,46.7422
2,5,25.7167,25.7237,43.0025,48.5116
3,5,27.3361,27.2829,44.6193,50.2138
4,5,29.1216,29.2769,46.1423,52.0670
5,5,30.9106,31.0487,47.9488,54.0195
6,5,33.0155,32.7729,49.8669,56.1308
7,5,35.2778,35.0944,51.6980,58.3460
8,5,37.6348,36.7689,53.7578,60.8328
9,5,63.4566,40.1414,56.4854,40.1807
9,6,65.8175,58.5911,42.3598,42.3771
9,7,68.3305,60.6385,44.7687,44.8493
9,8,71.0882,63.3471,47.4099,47.3930
9,9,50.1033,65.6200,50.1701,73.9330
10,9,53.2032,53.2054,68.9818,77.0734
11,9,56.3809,56.4307,72.0492,80.5972
12,9,60.1359,60.0239,75.7814,84.4076
13,9,88.6907,79.5691,79.4928,64.1818
13,8,84.8091,76.0067,60.1255,59.7639
13,7,81.1099,71.4890,55.9109,56.1093
13,6,77.4574,58.7808,37.2227,42.1201
13,5,70.0295,44.4367,33.5034,38.0094
12,5,-12.7366,6.7120,5.7311,46.1373
13,10,92.1050,82.7494,67.5910,67.6203
13,11,95.9921,86.4121,71.1754,71.1982
13,12,99.9822,89.9776,74.8473,74.9701
11,5,2.5349,2.9120,0.0000,28.2350
11,4,10.4886,-0.1761,0.0000,0.0000
11,3,1.6490,0.0000,-0.0900,0.0000
10,3,-18.6826,-14.8814,0.0000,0.1353
11,6,0.0000,8.6322,0.0000,-14.6442
