episode,steps,hit_count,total_reward,epsilon
1,3635,2067,-47722.62,0.9950
2,661,357,-7949.12,0.9900
3,2096,1160,-26472.02,0.9851
4,2087,1151,-26157.02,0.9801
5,803,433,-9893.62,0.9752
6,2713,1465,-33573.72,0.9704
7,542,286,-6352.12,0.9655
8,1334,700,-15893.92,0.9607
9,535,291,-6666.62,0.9559
10,1067,583,-13428.22,0.9511
11,1631,799,-18463.02,0.9464
12,1464,740,-16929.62,0.9416
13,2231,1137,-26348.22,0.9369
14,566,306,-6798.42,0.9322
15,1910,992,-23037.02,0.9276
16,1398,726,-16581.02,0.9229
17,2094,1016,-23338.02,0.9183
18,913,459,-10124.92,0.9137
19,733,385,-8522.22,0.9092
20,662,332,-7452.92,0.9046
21,675,365,-8224.02,0.9001
22,1749,907,-20863.52,0.8956
23,2511,1237,-28698.92,0.8911
24,377,191,-4248.92,0.8867
25,606,300,-6632.82,0.8822
26,360,166,-3555.62,0.8778
27,476,226,-5134.42,0.8734
28,467,213,-4877.22,0.8691
29,164,70,-1376.62,0.8647
30,298,142,-3086.52,0.8604
31,258,104,-2223.92,0.8561
32,440,212,-4805.12,0.8518
33,330,160,-3419.92,0.8475
34,181,85,-1731.42,0.8433
35,272,130,-2797.12,0.8391
36,154,70,-1353.92,0.8349
37,298,144,-3165.32,0.8307
38,542,238,-5276.02,0.8266
39,267,131,-2776.02,0.8224
40,366,158,-3459.02,0.8183
41,133,57,-1086.22,0.8142
42,214,84,-1893.52,0.8102
43,197,89,-1853.62,0.8061
44,296,116,-2551.42,0.8021
45,89,31,-521.52,0.7981
46,123,57,-1075.92,0.7941
47,207,93,-1956.82,0.7901
48,143,53,-1006.72,0.7862
49,172,82,-1622.52,0.7822
50,144,54,-1043.62,0.7783
51,162,68,-1378.82,0.7744
52,100,46,-830.42,0.7705
53,236,100,-2158.12,0.7667
54,163,77,-1532.22,0.7629
55,119,53,-992.62,0.7590
56,151,61,-1190.72,0.7553
57,138,62,-1228.82,0.7515
58,121,49,-904.52,0.7477
59,116,52,-965.52,0.7440
60,86,28,-466.62,0.7403
61,127,55,-1042.82,0.7366
62,123,51,-950.22,0.7329
63,123,47,-875.52,0.7292
64,166,66,-1296.52,0.7256
65,98,36,-533.42,0.7219
66,157,65,-1260.72,0.7183
67,142,56,-1076.92,0.7147
68,83,29,-482.02,0.7112
69,182,72,-1452.92,0.7076
70,140,64,-1227.12,0.7041
71,125,43,-790.42,0.7005
72,101,43,-768.22,0.6970
73,89,33,-562.52,0.6936
74,98,38,-668.12,0.6901
75,86,26,-417.82,0.6866
76,248,108,-2418.32,0.6832
77,85,23,-356.82,0.6798
78,83,29,-476.92,0.6764
79,145,65,-1256.62,0.6730
80,124,40,-722.72,0.6696
81,99,39,-688.42,0.6663
82,123,53,-992.72,0.6630
83,124,48,-903.22,0.6597
84,132,62,-1193.12,0.6564
85,101,39,-701.42,0.6531
86,84,28,-463.72,0.6498
87,83,27,-440.12,0.6466
88,102,42,-748.72,0.6433
89,92,32,-537.92,0.6401
90,79,21,-311.62,0.6369
91,110,36,-639.12,0.6337
92,107,39,-690.62,0.6306
93,200,70,-1556.92,0.6274
94,108,42,-762.52,0.6243
95,119,43,-797.22,0.6211
96,110,44,-792.13,0.6180
97,99,35,-608.42,0.6149
98,109,43,-790.92,0.6119
99,88,26,-421.42,0.6088
100,83,31,-512.52,0.6027
101,97,39,-680.92,0.5967
102,218,70,-1734.12,0.5907
103,100,38,-667.42,0.5848
104,109,33,-604.12,0.5790
105,146,50,-1021.22,0.5732
106,81,29,-470.52,0.5674
107,69,19,-267.62,0.5618
108,61,13,-147.62,0.5561
109,88,32,-535.32,0.5506
110,75,23,-350.42,0.5451
111,72,22,-326.32,0.5396
112,55,15,-181.12,0.5342
113,88,24,-373.72,0.5289
114,80,22,-332.32,0.5236
115,87,31,-518.62,0.5184
116,81,23,-363.42,0.5132
117,91,25,-412.32,0.5081
118,84,26,-425.42,0.5030
119,71,19,-269.92,0.4979
120,115,45,-827.72,0.4930
121,68,22,-325.92,0.4880
122,76,24,-369.22,0.4832
123,69,17,-233.12,0.4783
124,78,20,-313.82,0.4735
125,66,22,-324.82,0.4688
126,104,34,-585.22,0.4641
127,60,14,-163.02,0.4595
128,69,19,-265.22,0.4549
129,47,5,18.68,0.4503
130,69,17,-228.32,0.4458
131,69,23,-347.72,0.4414
132,64,12,-124.72,0.4370
133,54,10,-83.12,0.4326
134,72,26,-509.02,0.4283
135,83,25,-395.02,0.4240
136,93,25,-412.42,0.4197
137,79,15,-192.32,0.4155
138,57,17,-223.82,0.4114
139,74,18,-252.72,0.4073
140,66,14,-173.72,0.4032
141,56,10,-82.72,0.3992
142,68,16,-208.42,0.3952
143,63,13,-147.82,0.3912
144,55,9,-63.52,0.3873
145,79,17,-231.82,0.3834
146,101,21,-359.12,0.3796
147,47,7,-21.72,0.3758
148,108,24,-428.62,0.3720
149,74,14,-178.72,0.3683
150,68,12,-130.62,0.3646
151,73,15,-196.82,0.3610
152,68,14,-169.52,0.3574
153,74,18,-252.42,0.3538
154,88,24,-388.22,0.3503
155,82,18,-265.12,0.3468
156,58,10,-84.72,0.3433
157,68,12,-134.52,0.3399
158,61,13,-145.62,0.3365
159,85,17,-273.22,0.3331
160,62,12,-123.62,0.3298
161,100,18,-291.92,0.3265
162,94,20,-341.02,0.3232
163,97,15,-253.82,0.3200
164,62,8,-45.02,0.3168
165,79,17,-243.52,0.3136
166,94,18,-289.22,0.3105
167,70,12,-129.62,0.3074
168,75,17,-229.82,0.3043
169,65,11,-106.12,0.3013
170,76,16,-214.92,0.2982
171,94,18,-292.52,0.2953
172,66,16,-208.22,0.2923
173,142,24,-504.02,0.2894
174,85,21,-344.12,0.2865
175,153,25,-616.82,0.2836
176,78,10,-104.42,0.2808
177,75,5,-7.02,0.2780
178,64,8,-51.72,0.2752
179,64,12,-127.22,0.2725
180,72,10,-8.02,0.2697
181,84,12,-150.22,0.2670
182,114,16,-300.92,0.2644
183,139,23,-495.22,0.2617
184,119,11,-226.82,0.2591
185,158,20,-661.93,0.2565
186,223,55,-1646.52,0.2539
187,98,20,-390.92,0.2514
188,58,12,-124.42,0.2489
189,253,55,-1368.72,0.2464
190,195,37,-1060.82,0.2439
191,107,23,-470.72,0.2415
192,172,20,-815.62,0.2391
193,148,22,-629.52,0.2367
194,80,4,-41.92,0.2343
195,196,40,-1202.82,0.2320
196,49,3,58.18,0.2297
197,367,59,-1955.92,0.2274
198,49,9,-60.82,0.2251
199,80,10,-139.92,0.2228
200,132,18,-485.02,0.2206
201,281,39,-1721.52,0.2184
202,149,19,-616.72,0.2162
203,253,31,-1543.62,0.2141
204,63,9,-78.12,0.2119
205,94,18,-329.92,0.2098
206,47,3,58.48,0.2077
207,50,8,-41.62,0.2056
208,57,11,-102.42,0.2036
209,46,4,38.98,0.2015
210,53,9,-61.82,0.1995
211,43,3,59.18,0.1975
212,49,5,18.68,0.1955
213,48,6,-1.32,0.1936
214,47,3,58.18,0.1917
215,46,6,-0.82,0.1897
216,44,4,39.18,0.1878
217,47,7,-21.12,0.1860
218,45,5,19.18,0.1841
219,47,3,58.48,0.1823
220,52,6,-2.02,0.1804
221,44,2,78.98,0.1786
222,43,3,58.88,0.1768
223,58,16,-208.52,0.1751
224,45,5,19.18,0.1733
225,44,4,39.18,0.1716
226,45,5,19.18,0.1699
227,47,7,-20.82,0.1682
228,47,5,18.08,0.1665
229,46,4,38.98,0.1648
230,50,6,-1.52,0.1632
231,45,5,18.88,0.1616
232,47,5,-81.12,0.1599
233,44,4,39.18,0.1583
234,43,3,59.18,0.1568
235,49,7,-21.62,0.1552
236,45,3,58.68,0.1536
237,47,5,18.68,0.1521
238,45,5,18.88,0.1506
239,43,3,59.18,0.1491
240,43,3,59.18,0.1476
241,44,2,78.38,0.1461
242,41,1,99.18,0.1446
243,43,3,59.18,0.1432
244,42,2,79.18,0.1418
245,42,2,79.18,0.1404
246,45,3,58.98,0.1389
247,43,3,59.18,0.1376
248,46,4,38.98,0.1362
249,43,1,98.98,0.1348
250,42,2,79.18,0.1335
251,42,2,79.18,0.1321
252,44,4,39.18,0.1308
253,47,5,18.98,0.1295
254,42,2,79.18,0.1282
255,43,1,98.68,0.1269
256,45,3,58.98,0.1257
257,40,0,119.18,0.1244
258,42,2,79.18,0.1232
259,45,3,58.98,0.1219
260,47,5,18.68,0.1207
261,42,2,179.18,0.1195
262,47,7,-20.82,0.1183
263,42,2,79.18,0.1171
264,44,4,39.18,0.1160
265,46,6,-1.12,0.1148
266,42,2,79.18,0.1136
267,67,25,-450.32,0.1125
268,44,0,118.98,0.1114
269,43,3,59.18,0.1103
270,42,2,179.18,0.1092
271,43,3,59.18,0.1081
272,53,9,-64.52,0.1070
273,43,3,59.18,0.1059
274,45,3,58.68,0.1049
275,43,3,59.18,0.1038
276,44,4,39.18,0.1028
277,45,3,58.98,0.1018
278,47,5,18.68,0.1007
279,42,0,118.98,0.0997
280,42,2,79.18,0.0987
