episode,steps,hit_count,total_reward
1,984,0,182.38
2,1350,0,-1185.40
3,1350,0,-1105.32
4,1350,0,-1055.80
5,1350,0,-1196.76
6,1350,0,-1119.33
7,1062,0,134.62
8,1350,0,-1192.47
9,1350,0,-1173.44
10,708,0,-146.87
11,1350,0,-1202.48
12,974,0,174.85
13,1350,0,-1204.56
14,682,0,350.57
15,1350,0,-1221.07
16,1350,0,-1201.36
17,676,0,359.06
18,962,0,193.75
19,1350,0,-1197.61
20,1112,0,90.74
21,1318,0,-30.07
22,1350,0,-1199.34
23,1350,0,-1197.00
24,1350,0,-1086.39
25,1350,0,-1143.93
26,1350,0,-1133.53
27,1044,0,-354.20
28,1350,0,-1200.83
29,946,0,-283.19
30,1350,0,-1210.98
31,1350,0,-1196.92
32,986,0,147.99
33,344,0,568.07
34,1350,0,-1214.02
35,1150,0,62.15
36,1146,0,63.16
37,434,0,515.57
38,1350,0,-1228.13
39,792,0,289.47
40,1350,0,-1228.12
41,1350,0,-1192.09
42,1350,0,-1121.79
43,572,0,417.81
44,1350,0,-1223.45
45,1350,0,-1115.65
46,908,0,212.45
47,492,0,478.60
48,578,0,416.74
49,304,0,593.37
50,1350,0,-1224.51
51,354,0,563.44
52,1350,0,-1191.35
53,588,0,416.14
54,646,0,380.52
55,770,0,294.55
56,868,0,238.61
57,382,0,534.39
58,1350,0,-1214.85
59,1350,0,-1155.25
60,806,0,267.10
61,892,0,215.13
62,212,0,647.46
63,408,0,527.08
64,1350,0,-680.37
65,372,0,546.56
66,630,0,387.53
67,360,0,557.11
68,672,0,345.28
69,1350,0,-1207.84
70,446,0,509.36
71,818,0,269.41
72,546,0,426.20
73,1350,0,-1198.73
74,272,0,612.42
75,452,0,-1.91
76,474,0,482.81
77,422,0,516.29
78,382,0,532.80
79,548,0,-60.30
80,382,0,526.62
81,388,0,36.53
82,734,0,329.50
83,592,0,404.77
84,1328,0,-56.82
85,396,0,533.12
86,372,0,545.41
87,1024,0,146.96
88,260,0,618.79
89,448,0,495.05
90,886,0,220.87
91,864,0,224.00
92,418,0,510.27
93,422,0,511.79
94,680,0,342.69
95,1274,0,-46.81
96,524,0,442.51
97,440,0,497.27
98,702,0,328.93
99,752,0,300.29
100,466,0,485.53
101,390,0,537.75
102,316,0,587.48
103,1350,0,-1208.31
104,262,0,615.45
105,336,0,570.47
106,350,0,558.61
107,1058,0,88.12
108,166,0,677.43
109,248,0,619.68
110,402,0,527.44
111,352,0,554.59
112,432,0,495.37
113,716,0,325.77
114,282,0,602.45
115,764,0,278.35
116,208,0,646.60
117,390,0,537.67
118,512,0,462.26
119,382,0,547.82
120,830,0,237.15
121,398,0,526.79
122,320,0,579.78
123,276,0,607.57
124,674,0,333.49
125,620,0,374.14
126,390,0,525.43
127,534,0,434.91
128,442,0,485.76
129,256,0,608.99
130,572,0,406.02
131,258,0,610.59
132,192,0,655.07
133,1350,0,-1159.35
134,534,0,428.33
135,576,0,412.78
136,308,0,584.32
137,442,0,485.54
138,940,0,181.70
139,194,0,657.45
140,722,0,312.57
141,560,0,418.33
142,270,0,603.09
143,244,0,625.84
144,304,0,590.42
145,398,0,525.67
146,718,0,315.59
147,414,0,521.41
148,156,0,681.53
149,238,0,630.93
150,238,0,631.53
151,286,0,601.94
152,466,0,479.59
153,180,0,669.76
154,178,0,668.46
155,1350,0,-1211.22
156,182,0,663.53
157,326,0,572.12
158,202,0,656.84
159,430,0,502.56
160,218,0,648.84
161,274,0,606.43
162,206,0,653.51
163,210,0,645.49
164,402,0,522.07
165,566,0,425.48
166,242,0,629.63
167,268,0,611.75
168,116,0,705.32
169,288,0,591.79
170,170,0,671.45
171,238,0,622.73
172,218,0,645.82
173,172,0,677.33
174,1236,0,-11.31
175,142,0,691.17
176,154,0,681.86
177,214,0,646.84
178,504,0,461.37
179,286,0,602.18
180,170,0,672.90
181,130,0,698.56
182,340,0,558.09
