x,y,Q_up,Q_down,Q_left,Q_right
1,1,-11.4346,-11.2949,-11.3739,9.2272
2,1,-10.9771,-11.0403,7.7875,9.6111
3,1,-11.2152,-11.2888,7.5637,9.3243
4,1,-11.5357,-11.4923,6.7337,9.0615
5,1,-11.7969,-11.8640,6.9451,8.8237
6,1,-12.1113,-11.8776,6.7523,8.6152
7,1,-12.0281,-12.0588,7.1849,8.4943
8,1,-12.1572,-12.1045,7.3314,8.4046
9,1,-12.2359,-12.1960,7.1761,8.3745
10,1,-12.0564,-12.2691,5.6217,8.4138
11,1,-12.0519,-11.9651,7.4394,8.5363
12,1,-11.7727,-11.7448,7.6698,8.7626
13,1,9.0943,-11.4569,7.4283,-11.4840
13,2,8.4238,7.1083,-12.1441,-12.0358
13,3,-12.7570,5.5449,7.7080,-12.7828
12,3,-12.4355,-12.3838,8.0573,6.5790
11,3,-11.9968,-12.0116,8.5283,7.0603
10,3,-11.3490,-11.4478,9.1361,7.7549
9,3,9.8969,-10.6560,-10.6447,8.5702
9,4,9.3542,6.4525,-11.1569,-11.2629
9,5,-11.7034,7.0572,-11.8580,8.7984
10,5,-11.8926,-11.8214,7.5781,8.7393
11,5,8.7817,-11.6990,7.6030,-11.7784
11,6,8.1231,6.3959,-12.3298,-12.5033
11,7,-12.9859,5.8777,7.4427,-13.0979
10,7,-12.3095,-12.3978,8.1364,7.1411
9,7,8.9896,-11.5554,-11.7311,7.4771
9,8,8.5104,7.1785,-12.0097,-12.0862
9,9,8.0690,6.5331,-12.4723,-12.3811
9,10,7.6976,6.3095,-12.7561,-12.8686
9,11,-13.0380,5.7903,7.4414,-12.9964
8,11,-11.7650,-11.7602,8.6925,7.3683
7,11,-10.4968,-10.5813,10.0542,8.9354
6,11,-9.1127,-9.1680,11.4879,9.3158
5,11,-7.7843,-7.7133,13.0052,11.2228
4,11,-6.1875,-6.1373,14.6087,12.9769
3,11,-4.5244,16.3013,-4.5347,14.4191
3,10,15.0985,17.3098,-3.5876,-3.5990
3,9,15.7400,-2.5034,-2.5948,18.4671
4,9,-2.5930,-2.5760,15.3087,18.3665
5,9,-2.6405,-2.6679,16.1691,18.2805
6,9,-2.7297,-2.7872,15.5868,18.2139
7,9,-2.7804,18.1875,16.0381,-2.8930
7,8,17.4197,19.6879,-1.3396,-1.3340
7,7,19.0859,21.3394,0.1999,0.2221
7,6,20.2808,23.1369,1.7696,1.9459
7,5,22.1008,3.6735,25.0725,3.7503
6,5,5.5339,5.5597,26.9491,22.9369
5,5,7.5036,28.9837,7.5148,25.6842
5,4,27.7752,31.1809,9.5457,9.5457
5,3,29.5471,11.8072,33.5238,29.6748
4,3,13.8781,14.0397,35.8661,31.9965
6,3,7.9701,7.4104,30.8713,25.7698
7,3,-0.1465,-7.7530,27.5564,4.0981
3,3,38.3720,16.3414,16.4341,34.1169
3,4,39.5616,34.9891,17.5565,17.5129
3,5,18.7807,36.4014,40.8627,18.7890
2,5,21.5065,21.5400,43.7500,38.6444
1,5,46.8094,41.9407,24.4551,41.9397
1,6,48.6257,43.2674,26.1561,26.1405
1,7,50.5821,44.0389,27.8828,45.5535
1,8,52.7068,47.2260,30.0406,30.0464
1,9,55.0109,49.3078,32.1476,32.2174
1,10,57.5135,51.5985,34.5738,34.5077
1,11,60.2319,53.8880,37.1685,37.1678
2,7,21.9435,21.9054,46.9409,40.6054
1,4,44.6675,39.6944,22.0733,21.7611
1,3,42.7617,15.5016,17.3940,11.5849
3,7,15.5076,16.7128,42.7592,30.5598
4,7,8.2848,10.3313,33.3646,25.8743
5,7,4.1945,3.7966,29.0437,4.9965
1,12,63.1730,56.6799,39.9753,39.9666
1,13,42.9821,59.6411,42.9902,66.3585
2,13,45.2357,45.2336,61.7463,68.6994
3,13,47.5685,47.5592,63.8176,71.1590
4,13,50.0329,50.0108,65.3791,73.7466
5,13,52.6083,52.6310,68.7252,76.4703
6,13,55.3514,55.3345,71.3415,79.3372
7,13,58.2159,58.2243,74.1087,82.3549
8,13,61.2471,61.2309,76.7715,85.5315
9,13,64.4271,64.4278,79.9964,88.8752
10,13,67.7722,67.7317,83.0555,92.3950
11,13,71.2701,71.2915,86.3804,96.1000
12,13,74.9975,74.9968,90.0477,100.0000
