episode,steps,hit_count,total_reward
1,1350,0,-1223.75
2,916,0,125.70
3,336,0,475.24
4,1086,0,11.25
5,832,0,158.61
6,136,0,601.75
7,622,0,271.43
8,330,0,468.40
9,1350,0,-1277.25
10,796,0,163.23
11,1350,0,-1278.56
12,554,0,320.39
13,166,0,575.20
14,744,0,185.45
15,1042,0,-1.77
16,224,0,537.23
17,422,0,409.90
18,250,0,525.78
19,468,0,374.78
20,196,0,558.58
21,138,0,600.81
22,252,0,524.90
23,232,0,545.16
24,312,0,482.54
25,152,0,591.98
26,140,0,603.78
27,244,0,529.78
28,100,0,621.69
29,412,0,404.90
30,138,0,598.84
31,288,0,497.93
32,310,0,488.18
33,400,0,422.80
34,166,0,581.34
35,136,0,602.43
36,82,0,634.32
37,132,0,600.22
38,154,0,589.06
39,132,0,605.00
40,252,0,523.83
41,202,0,558.27
42,160,0,584.74
43,168,0,580.17
44,138,0,604.68
45,78,0,636.32
46,138,0,600.36
47,124,0,606.92
48,150,0,590.14
49,226,0,535.06
50,120,0,609.53
51,370,0,437.75
52,404,0,417.39
53,592,0,286.33
54,102,0,622.12
55,250,0,518.50
56,146,0,592.79
57,128,0,607.65
58,132,0,606.39
59,114,0,618.50
60,94,0,627.41
61,78,0,638.06
62,110,0,617.75
63,76,0,640.00
64,166,0,578.67
65,140,0,595.29
66,162,0,1113.39
67,144,0,593.00
68,150,0,587.63
69,94,0,626.19
70,70,0,641.88
71,168,0,581.48
72,106,0,618.92
73,146,0,599.05
74,172,0,579.15
75,82,0,633.20
76,106,0,615.78
77,64,0,645.94
78,102,0,621.68
79,68,0,642.54
80,114,0,613.24
81,98,0,624.63
82,180,0,577.79
83,64,0,645.62
84,132,0,603.72
85,114,0,611.97
86,76,0,636.17
87,186,0,565.69
88,148,0,590.24
89,132,0,602.62
90,116,0,611.07
91,126,0,603.38
92,118,0,611.37
93,360,0,442.70
94,422,0,402.87
95,198,0,553.06
96,118,0,609.73
97,154,0,580.68
98,188,0,566.52
99,88,0,629.50
100,76,0,637.44
101,106,0,618.10
102,82,0,634.19
103,96,0,626.34
104,66,0,644.96
105,124,0,605.11
106,152,0,591.80
107,174,0,577.27
108,86,0,633.10
109,134,0,599.18
110,76,0,638.68
111,92,0,628.31
112,134,0,600.92
113,110,0,616.75
114,62,0,648.86
115,68,0,642.92
116,64,0,645.58
117,74,0,639.65
118,102,0,620.91
119,108,0,617.35
120,56,0,651.15
121,86,0,630.87
122,74,0,639.09
123,52,0,655.60
124,208,0,550.49
125,206,0,552.68
126,150,0,591.27
127,208,0,552.72
128,114,0,611.83
129,88,0,630.54
130,686,0,232.52
131,408,0,414.27
132,66,0,644.17
133,98,0,622.58
134,62,0,646.47
135,206,0,558.10
136,220,0,547.35
137,646,0,262.08
138,72,0,639.32
139,140,0,595.96
140,142,0,591.83
141,132,0,601.81
142,76,0,639.03
143,76,0,638.02
144,60,0,648.41
145,78,0,635.67
146,68,0,644.71
147,84,0,633.12
148,82,0,635.66
149,86,0,631.55
150,64,0,645.41
151,156,0,581.97
152,540,0,302.10
153,114,0,616.39
154,144,0,591.02
155,78,0,637.16
156,76,0,636.26
157,56,0,650.88
158,56,0,651.61
159,60,0,648.07
160,72,0,642.11
161,100,0,622.17
162,122,0,605.59
163,74,0,638.55
164,50,0,655.02
165,66,0,644.31
166,50,0,655.38
167,108,0,616.86
168,236,0,524.02
169,104,0,615.48
170,60,0,648.49
171,86,0,636.07
172,74,0,638.51
173,92,0,625.99
174,54,0,652.54
175,44,0,659.13
176,54,0,652.71
177,64,0,645.10
178,110,0,615.42
179,84,0,631.18
180,274,0,511.25
181,220,0,545.12
182,52,0,653.66
183,130,0,602.99
184,76,0,638.35
185,72,0,640.20
186,68,0,643.16
187,82,0,634.67
188,182,0,567.47
189,108,0,618.53
190,108,0,617.16
191,104,0,621.67
192,78,0,636.07
193,92,0,627.18
194,82,0,633.35
195,90,0,633.72
196,70,0,641.85
197,82,0,633.38
198,112,0,616.10
199,134,0,604.50
200,58,0,650.37
201,64,0,645.67
202,78,0,634.46
203,66,0,644.33
204,108,0,616.81
205,56,0,651.12
206,86,0,631.22
207,66,0,643.88
208,160,0,584.08
209,114,0,614.33
210,98,0,622.05
211,248,0,526.67
212,146,0,93.79
213,46,0,657.77
214,70,0,642.55
215,80,0,634.60
216,178,0,577.23
217,116,0,612.00
218,112,0,615.79
219,74,0,639.09
220,60,0,650.10
221,64,0,645.58
222,70,0,643.29
223,118,0,613.84
224,102,0,620.10
225,74,0,638.70
226,70,0,642.35
227,98,0,623.22
228,84,0,636.97
229,56,0,650.91
230,62,0,646.41
231,74,0,638.66
232,128,0,604.66
233,752,0,185.12
234,328,0,477.33
235,74,0,639.09
236,140,0,603.78
237,64,0,145.56
238,90,0,627.20
239,54,0,652.50
240,62,0,647.62
241,60,0,147.50
242,74,0,640.95
243,66,0,645.11
244,46,0,657.77
245,56,0,651.65
246,42,0,660.49
247,74,0,638.00
248,80,0,139.84
249,60,0,147.65
250,48,0,656.41
251,56,0,650.99
252,50,0,155.02
253,46,0,657.77
254,96,0,623.37
255,52,0,653.66
256,60,0,647.86
257,58,0,649.70
258,46,0,657.77
259,50,0,655.05
260,72,0,140.78
261,70,0,641.32
262,126,0,605.70
263,54,0,652.27
264,70,0,142.32
265,46,0,657.77
266,68,0,643.91
267,58,0,649.78
268,68,0,643.33
269,64,0,646.98
270,58,0,649.79
271,58,0,650.82
272,116,0,606.16
273,56,0,651.15
274,54,0,652.57
275,80,0,634.70
276,62,0,646.98
277,168,0,578.75
278,86,0,634.43
279,50,0,655.05
280,120,0,607.49
281,78,0,636.41
282,68,0,641.28
283,68,0,642.88
284,54,0,152.21
285,50,0,655.38
286,66,0,644.85
287,52,0,654.01
288,52,0,653.63
289,54,0,652.15
290,70,0,643.47
291,70,0,642.32
292,112,0,610.64
293,76,0,638.13
294,58,0,650.49
295,120,0,609.02
296,60,0,648.40
297,136,0,599.48
298,62,0,647.68
299,56,0,650.70
300,58,0,649.78
301,62,0,647.41
302,48,0,656.41
303,60,0,648.84
304,60,0,648.48
305,62,0,648.47
306,60,0,648.39
307,50,0,654.99
308,48,0,656.38
309,72,0,638.94
310,62,0,646.25
311,76,0,636.46
312,100,0,622.58
313,52,0,153.60
314,52,0,653.84
315,52,0,654.40
316,64,0,644.95
317,50,0,654.84
318,68,0,643.41
319,54,0,652.21
320,62,0,646.68
321,86,0,632.11
322,42,0,660.49
323,76,0,637.39
324,78,0,637.60
325,104,0,619.12
326,72,0,641.12
327,46,0,658.10
328,44,0,659.13
329,50,0,655.99
330,46,0,657.77
331,82,0,632.76
332,906,0,52.10
333,756,0,153.40
334,378,0,425.46
335,184,0,565.85
336,856,0,93.76
337,80,0,634.60
338,52,0,655.33
339,48,0,656.35
340,56,0,650.70
341,46,0,657.74
342,76,0,639.59
343,46,0,657.71
344,50,0,654.93
345,50,0,655.02
346,84,0,635.11
347,84,0,632.96
348,78,0,636.31
349,72,0,640.73
350,66,0,643.63
351,56,0,652.11
352,66,0,644.05
353,62,0,646.67
354,56,0,652.12
355,52,0,655.04
356,76,0,637.98
357,144,0,98.95
358,126,0,605.95
359,52,0,653.99
360,62,0,646.86
361,68,0,643.78
362,66,0,644.25
363,104,0,618.96
364,54,0,652.24
365,54,0,652.15
366,68,0,643.83
367,78,0,636.72
368,56,0,651.09
369,64,0,644.99
370,86,0,633.58
371,72,0,639.98
372,46,0,657.77
373,64,0,645.04
374,52,0,653.54
375,66,0,645.34
376,50,0,654.99
377,74,0,637.86
378,48,0,656.74
379,64,0,646.22
380,56,0,651.23
381,58,0,649.37
382,46,0,657.65
383,50,0,654.90
384,72,0,640.48
385,56,0,651.11
386,108,0,616.60
387,54,0,652.57
388,68,0,644.16
389,64,0,645.50
390,60,0,648.34
391,42,0,660.49
392,60,0,648.37
393,66,0,645.41
394,188,0,564.01
395,56,0,651.79
396,62,0,647.59
397,90,0,631.44
398,54,0,652.24
399,88,0,632.15
