episode,steps,hit_count,total_reward
1,726,0,-903.26
2,726,0,-883.71
3,214,0,491.22
4,288,0,442.57
5,276,0,455.78
6,418,0,376.52
7,246,0,468.46
8,360,0,399.49
9,334,0,421.69
10,194,0,503.76
11,726,0,-934.10
12,380,0,386.71
13,394,0,384.65
14,86,0,572.74
15,240,0,477.92
16,188,0,500.72
17,128,0,544.61
18,226,0,478.03
19,64,0,589.33
20,68,0,587.68
21,334,0,413.59
22,258,0,463.82
23,74,0,582.35
24,290,0,438.02
25,200,0,499.59
26,602,0,246.82
27,254,0,463.57
28,140,0,537.76
29,204,0,494.46
30,92,0,570.82
31,126,0,553.05
32,154,0,535.13
33,252,0,463.71
34,544,0,284.00
35,74,0,582.37
36,56,0,596.15
37,254,0,470.41
38,414,0,365.75
39,84,0,576.84
40,138,0,542.87
41,160,0,526.13
42,106,0,564.43
43,58,0,592.01
44,106,0,562.17
45,60,0,591.54
46,62,0,588.55
47,84,0,573.66
48,76,0,581.14
49,280,0,442.31
50,106,0,562.00
51,726,0,-949.40
52,126,0,547.63
53,100,0,565.34
54,88,0,574.32
55,46,0,600.62
56,70,0,585.13
57,48,0,598.88
58,98,0,566.48
59,116,0,554.80
60,70,0,584.58
61,64,0,589.31
62,106,0,556.44
63,124,0,546.29
64,66,0,588.24
65,56,0,592.80
66,178,0,507.07
67,184,0,502.22
68,72,0,582.58
69,122,0,51.42
70,89,0,958.44
71,66,0,585.18
72,52,0,596.55
73,74,0,579.47
74,96,0,568.83
75,98,0,568.34
76,60,0,590.37
77,70,0,584.70
78,58,0,591.23
79,70,0,584.80
80,72,0,584.04
81,96,0,567.78
82,72,0,583.43
83,66,0,587.07
84,100,0,564.58
85,60,0,590.61
86,62,0,590.44
87,208,0,484.17
88,86,0,572.92
89,72,0,586.18
90,48,0,598.60
91,38,0,605.16
92,120,0,549.15
93,56,0,592.32
94,84,0,574.95
95,110,0,560.22
96,38,0,605.19
97,78,0,578.75
98,60,0,591.63
99,112,0,555.35
100,176,0,517.98
101,90,0,572.83
102,76,0,578.96
103,92,0,569.57
104,84,0,576.00
105,218,0,478.00
106,128,0,544.42
107,64,0,589.47
108,80,0,581.17
109,86,0,572.18
110,404,0,347.99
111,106,0,560.92
112,50,0,597.09
113,46,0,599.54
114,84,0,575.41
115,156,0,527.61
116,152,0,530.26
117,50,0,596.69
118,148,0,535.17
119,38,0,605.04
120,186,0,512.64
121,74,0,579.23
122,94,0,571.01
123,64,0,589.38
124,70,0,587.78
125,70,0,582.45
126,44,0,601.04
127,54,0,593.88
128,52,0,595.72
129,118,0,550.92
130,134,0,537.98
131,106,0,560.82
132,60,0,590.28
133,364,0,385.62
134,68,0,585.74
135,66,0,587.67
136,52,0,597.80
137,104,0,558.10
138,120,0,549.31
139,86,0,572.38
140,58,0,591.14
141,92,0,572.49
142,34,0,607.91
143,50,0,596.80
144,66,0,584.95
145,46,0,599.51
146,58,0,92.52
147,44,0,601.58
148,42,0,602.59
149,46,0,600.40
150,54,0,594.30
151,62,0,590.99
152,96,0,567.76
153,100,0,565.74
154,86,0,574.65
155,56,0,95.65
156,54,0,594.10
157,40,0,604.19
158,38,0,605.46
159,62,0,588.75
160,40,0,603.83
161,54,0,593.47
162,44,0,601.05
163,40,0,603.65
164,100,0,565.34
165,62,0,90.07
166,70,0,584.13
167,66,0,586.26
168,42,0,602.79
169,56,0,592.85
170,34,0,607.94
171,42,0,602.61
172,32,0,609.33
173,42,0,602.29
174,36,0,606.94
175,52,0,596.06
176,50,0,598.02
177,174,0,511.92
178,52,0,595.98
179,52,0,596.07
180,44,0,602.55
181,36,0,606.55
182,204,0,488.57
183,176,0,499.08
184,726,0,-1061.25
185,726,0,-1051.33
186,116,0,547.93
187,60,0,588.60
188,64,0,588.62
189,44,0,601.55
190,46,0,600.21
191,42,0,602.55
192,52,0,596.72
193,48,0,597.76
194,46,0,600.83
195,40,0,603.77
