episode,steps,hit_count,total_reward
1,675,0,-824.71
2,675,0,-857.63
3,675,0,-792.33
4,675,0,-856.86
5,675,0,-803.48
6,675,0,-782.46
7,675,0,-790.39
8,675,0,-810.12
9,675,0,-812.48
10,675,0,-813.56
11,675,0,-799.61
12,675,0,-816.09
13,675,0,-819.42
14,675,0,-871.20
15,675,0,-799.92
16,675,0,-838.04
17,675,0,-783.86
18,675,0,-792.72
19,675,0,-815.36
20,675,0,-810.89
21,675,0,-793.53
22,675,0,-810.00
23,675,0,-801.52
24,1350,0,-1234.70
25,1350,0,-1117.14
26,1350,0,-1018.14
27,1350,0,-1130.75
28,1350,0,-1229.23
29,1350,0,-1035.35
30,1350,0,-1146.75
31,1350,0,-1101.01
32,1350,0,-1008.22
33,1350,0,-1165.64
34,1350,0,-1067.26
35,1350,0,-1122.91
36,1350,0,-1040.55
37,1018,0,237.51
38,1350,0,-1109.18
39,1350,0,-1155.95
40,1350,0,-1085.95
41,1350,0,-1155.72
42,1202,0,111.42
43,1350,0,-1187.05
44,1168,0,132.76
45,452,0,585.71
46,1350,0,-1081.38
47,876,0,-186.14
48,440,0,591.17
49,644,0,463.67
50,1350,0,-1064.06
51,1350,0,-1125.27
52,1350,0,-1129.39
53,698,0,429.87
54,720,0,409.25
55,896,0,326.05
56,778,0,356.66
57,276,0,688.99
58,550,0,522.90
59,746,0,390.56
60,654,0,461.66
61,1004,0,220.23
62,484,0,561.32
63,1228,0,98.71
64,740,0,390.69
65,646,0,443.97
66,308,0,671.80
67,952,0,251.97
68,276,0,684.84
69,652,0,455.83
70,296,0,670.73
71,346,0,645.32
72,338,0,651.30
73,540,0,516.59
74,652,0,438.58
75,802,0,344.77
76,436,0,581.92
77,392,0,616.59
78,1088,0,165.41
79,394,0,609.35
80,724,0,410.90
81,462,0,578.17
82,552,0,498.02
83,562,0,504.28
84,622,0,459.42
85,386,0,620.24
86,452,0,568.29
87,1014,0,213.11
88,362,0,630.57
89,252,0,700.35
90,286,0,674.97
91,358,0,633.87
92,376,0,618.65
93,698,0,408.33
94,404,0,599.59
95,432,0,588.22
96,372,0,632.55
97,282,0,678.20
98,606,0,469.50
99,942,0,245.32
100,1350,0,-1194.20
101,380,0,615.43
102,698,0,419.84
103,252,0,696.14
104,390,0,613.31
105,476,0,562.78
106,348,0,638.97
107,412,0,601.13
108,296,0,667.94
109,400,0,609.16
110,1350,0,-1189.40
111,490,0,547.17
112,248,0,704.70
113,718,0,389.63
114,612,0,449.65
115,362,0,628.27
116,136,0,770.15
117,184,0,746.17
118,310,0,665.58
119,540,0,519.83
120,396,0,601.01
121,662,0,412.30
122,322,0,661.30
123,132,0,773.18
124,274,0,683.20
125,462,0,571.82
126,338,0,638.89
127,384,0,616.16
128,362,0,633.12
129,420,0,593.11
130,430,0,576.96
131,294,0,669.31
132,290,0,677.43
133,162,0,755.24
134,344,0,645.07
135,466,0,554.79
136,324,0,655.64
137,326,0,652.65
138,168,0,749.16
139,660,0,434.07
140,328,0,642.06
141,272,0,686.60
142,144,0,766.23
143,216,0,722.28
144,296,0,669.41
145,776,0,361.02
146,580,0,488.09
147,456,0,563.87
148,240,0,704.14
149,924,0,248.59
150,1126,0,121.76
151,1256,0,16.68
152,266,0,688.78
153,224,0,718.40
154,244,0,701.87
155,192,0,742.24
156,424,0,585.81
157,346,0,629.11
158,154,0,762.81
159,460,0,566.83
160,110,0,791.38
161,750,0,378.01
162,890,0,229.31
163,472,0,548.94
164,480,0,551.78
165,164,0,254.15
166,210,0,726.47
167,280,0,682.40
168,1350,0,-1202.11
169,440,0,569.17
170,280,0,685.03
171,798,0,362.88
172,350,0,626.22
173,246,0,698.33
174,262,0,688.26
175,202,0,729.58
176,212,0,726.12
177,238,0,706.53
178,264,0,686.78
179,114,0,787.36
180,158,0,757.92
181,146,0,766.01
182,742,0,383.14
183,186,0,747.83
184,312,0,661.37
185,1072,0,184.89
186,174,0,744.28
187,464,0,563.33
188,236,0,715.53
189,192,0,737.97
190,200,0,732.62
191,196,0,734.51
192,186,0,742.37
193,306,0,662.23
194,338,0,649.77
195,192,0,738.00
196,252,0,697.76
197,212,0,728.47
198,826,0,337.62
199,152,0,762.89
200,276,0,679.58
201,242,0,710.08
202,146,0,766.69
203,246,0,704.07
204,110,0,789.89
205,150,0,769.50
206,128,0,778.24
207,314,0,656.09
208,136,0,771.43
209,130,0,777.03
210,272,0,690.36
211,376,0,620.66
212,218,0,727.04
213,108,0,789.29
214,156,0,758.79
215,760,0,380.96
216,370,0,612.18
217,518,0,498.94
218,316,0,650.26
219,440,0,574.76
