episode,steps,hit_count,total_reward,epsilon
1,301,163,-3554.02,0.9900
2,190,102,-2117.27,0.9801
3,627,355,-8481.72,0.9703
4,649,349,-7963.12,0.9606
5,895,481,-11305.07,0.9510
6,574,296,-6753.77,0.9415
7,345,173,-3941.37,0.9321
8,169,91,-1947.82,0.9227
9,181,95,-1981.52,0.9135
10,312,144,-3102.17,0.9044
11,320,144,-3292.02,0.8953
12,224,112,-2429.72,0.8864
13,309,141,-3065.97,0.8775
14,192,88,-1880.02,0.8687
15,89,45,-841.32,0.8601
16,158,74,-1532.62,0.8515
17,180,86,-1825.52,0.8429
18,179,89,-1850.87,0.8345
19,84,36,-627.92,0.8262
20,153,61,-1231.22,0.8179
21,84,38,-685.87,0.8097
22,152,66,-1314.17,0.8016
23,55,19,-270.87,0.7936
24,63,25,-396.47,0.7857
25,106,38,-687.42,0.7778
26,97,43,-793.47,0.7700
27,99,45,-827.27,0.7623
28,93,39,-718.07,0.7547
29,95,35,-666.02,0.7472
30,55,21,-312.22,0.7397
31,69,29,-479.82,0.7323
32,53,19,-269.27,0.7250
33,75,29,-481.67,0.7177
34,80,32,-559.97,0.7106
35,95,37,-702.52,0.7034
36,77,37,-644.87,0.6964
37,56,20,-294.72,0.6894
38,55,23,-346.72,0.6826
39,87,37,-674.32,0.6757
40,83,33,-562.62,0.6690
41,43,15,-183.52,0.6623
42,75,27,-442.47,0.6557
43,76,30,-510.87,0.6491
44,71,25,-396.62,0.6426
45,46,14,-164.92,0.6362
46,46,12,-125.02,0.6298
47,86,30,-526.72,0.6235
48,79,29,-488.97,0.6173
49,59,23,-351.42,0.6111
50,60,16,-218.97,0.6050
51,97,43,-791.47,0.5990
52,73,29,-480.77,0.5930
53,73,27,-443.37,0.5870
54,52,20,-286.12,0.5812
55,70,26,-416.52,0.5754
56,71,29,-477.87,0.5696
57,57,17,-231.42,0.5639
58,43,15,-182.92,0.5583
59,59,21,-316.57,0.5527
60,63,19,-290.97,0.5472
61,66,20,-298.92,0.5417
62,53,17,-230.62,0.5363
63,56,18,-250.52,0.5309
64,52,16,-209.22,0.5256
65,58,20,-292.22,0.5203
66,55,15,-190.42,0.5151
67,53,17,-231.02,0.5100
68,61,17,-237.87,0.5049
