episode,steps,hit_count,total_reward
1,144,0,498.81
2,144,0,500.11
3,238,0,448.47
4,440,0,313.58
5,172,0,481.00
6,66,0,549.85
7,182,0,474.93
8,78,0,541.41
9,58,0,554.50
10,126,0,511.96
11,38,0,566.99
12,66,0,547.22
13,38,0,567.66
14,28,0,573.23
15,58,0,555.66
16,54,0,558.35
17,22,0,577.49
18,34,0,569.89
19,324,0,387.88
20,176,0,476.09
21,40,0,564.59
22,84,0,538.78
23,42,0,565.05
24,38,0,567.76
25,40,0,566.20
26,58,0,553.96
27,34,0,568.91
28,52,0,559.36
29,48,0,563.73
30,32,0,570.89
31,56,0,556.70
32,34,0,569.12
33,76,0,542.87
34,70,0,545.83
35,88,0,535.78
36,28,0,573.79
37,62,0,552.75
38,34,0,570.00
39,36,0,569.09
40,240,0,437.04
41,34,0,568.85
42,46,0,562.80
43,382,0,323.80
44,400,0,325.06
45,416,0,297.51
46,72,0,543.92
47,66,0,548.68
48,206,0,453.25
49,318,0,380.48
50,194,0,466.03
51,30,0,571.87
52,42,0,563.14
53,42,0,563.44
54,48,0,560.17
55,20,0,578.85
56,80,0,541.03
57,48,0,561.18
58,54,0,558.79
59,26,0,574.59
60,48,0,562.27
61,32,0,570.87
62,88,0,534.81
63,44,0,562.52
64,44,0,562.10
65,36,0,569.85
66,30,0,572.02
67,30,0,571.93
68,48,0,559.94
69,48,0,559.66
70,26,0,574.74
71,38,0,567.02
72,20,0,578.85
73,32,0,570.75
74,82,0,538.75
75,56,0,554.90
76,154,0,493.81
77,38,0,566.84
78,22,0,577.82
79,36,0,568.21
80,54,0,559.02
81,244,0,431.22
82,52,0,560.35
83,40,0,564.92
84,90,0,533.40
85,198,0,459.63
86,216,0,447.93
87,58,0,555.50
88,34,0,569.54
89,24,0,576.13
90,48,0,560.09
91,164,0,485.86
92,38,0,567.05
93,52,0,558.30
94,38,0,566.40
95,32,0,570.57
96,40,0,567.98
97,136,0,501.55
98,46,0,560.03
99,156,0,490.49
100,94,0,532.85
101,30,0,572.29
102,36,0,567.79
103,28,0,573.35
104,28,0,573.35
105,26,0,574.74
106,52,0,556.67
107,50,0,556.71
108,28,0,573.29
109,38,0,567.43
110,270,0,408.61
111,28,0,573.23
112,114,0,516.64
113,190,0,470.90
114,52,0,556.72
115,56,0,556.74
116,22,0,577.49
117,32,0,570.86
118,42,0,564.92
119,34,0,569.09
120,32,0,570.93
121,24,0,576.13
122,22,0,577.49
123,34,0,569.65
124,24,0,576.43
125,32,0,570.87
126,174,0,481.74
127,60,0,551.83
128,102,0,524.93
129,50,0,560.54
130,58,0,554.08
131,34,0,571.89
132,26,0,574.65
133,24,0,576.13
134,30,0,571.78
135,30,0,571.78
136,24,0,576.13
137,38,0,565.92
138,48,0,562.46
139,26,0,574.77
140,28,0,573.35
141,32,0,571.84
142,70,0,549.90
143,74,0,544.35
144,32,0,570.45
145,28,0,573.32
146,72,0,542.35
147,110,0,515.46
148,38,0,567.01
149,82,0,540.21
150,38,0,568.02
151,22,0,577.49
152,24,0,576.10
153,26,0,576.04
154,32,0,572.34
155,70,0,543.96
156,178,0,463.29
157,44,0,563.69
158,22,0,577.49
159,60,0,553.60
160,138,0,500.74
161,106,0,521.78
162,70,0,544.62
163,30,0,572.29
164,28,0,573.74
165,34,0,569.36
166,38,0,568.40
167,66,0,548.01
168,26,0,574.77
169,32,0,570.86
170,42,0,563.37
171,38,0,566.87
172,28,0,573.74
173,96,0,527.27
174,28,0,573.71
175,28,0,573.71
176,42,0,563.08
177,22,0,577.82
178,30,0,571.81
179,26,0,575.10
180,52,0,556.41
181,28,0,573.65
182,30,0,572.26
183,140,0,496.63
184,32,0,571.31
185,50,0,557.91
186,358,0,333.29
187,220,0,437.93
188,42,0,562.96
189,24,0,576.43
190,36,0,570.35
191,52,0,559.54
192,28,0,573.74
193,28,0,573.71
194,20,0,578.85
195,44,0,563.45
196,120,0,505.97
197,36,0,567.97
198,56,0,555.35
199,62,0,549.46
200,30,0,571.81
201,44,0,563.16
202,28,0,573.29
203,36,0,567.64
204,30,0,72.29
205,48,0,562.30
206,44,0,562.82
207,40,0,565.24
208,42,0,564.05
209,46,0,562.72
210,34,0,569.95
211,32,0,571.07
212,32,0,570.51
213,28,0,573.41
214,36,0,568.06
215,48,0,558.88
216,106,0,525.32
217,64,0,550.53
218,128,0,504.73
219,102,0,525.45
220,60,0,550.86
221,34,0,568.85
222,62,0,549.14
223,22,0,577.49
224,30,0,571.93
225,24,0,576.07
226,24,0,76.13
227,66,0,548.51
228,50,0,558.19
229,32,0,571.48
230,24,0,576.43
231,26,0,574.98
232,36,0,567.43
233,54,0,555.94
234,380,0,332.93
235,62,0,49.18
236,26,0,574.74
237,40,0,564.73
238,34,0,70.30
239,36,0,68.94
240,32,0,570.93
241,30,0,571.99
242,66,0,548.61
243,24,0,576.07
244,24,0,576.13
245,86,0,537.23
246,110,0,521.02
247,34,0,569.42
248,30,0,72.20
249,30,0,571.84
250,20,0,578.85
251,26,0,574.74
252,42,0,63.97
253,28,0,573.62
254,30,0,72.35
255,20,0,578.85
256,28,0,74.35
257,26,0,75.10
258,26,0,74.59
259,24,0,576.10
260,24,0,576.13
261,26,0,574.65
262,22,0,577.82
263,26,0,574.74
264,20,0,578.85
265,24,0,576.10
266,26,0,574.74
267,34,0,569.42
268,36,0,568.41
269,32,0,571.06
270,24,0,576.46
271,20,0,78.85
272,26,0,575.01
273,24,0,576.10
274,24,0,576.46
275,24,0,576.13
276,22,0,577.49
277,28,0,573.38
278,22,0,577.49
279,38,0,567.51
280,32,0,571.66
281,32,0,570.90
282,30,0,572.61
283,22,0,577.49
284,26,0,574.74
285,30,0,572.29
286,36,0,68.93
287,44,0,562.54
288,26,0,574.74
289,24,0,576.13
290,46,0,559.55
291,34,0,569.48
292,36,0,67.97
293,24,0,76.46
294,28,0,573.71
