episode,steps,hit_count,total_reward,epsilon
1,559,299,-5908.97,0.9950
2,1355,755,-15099.37,0.9900
3,256,130,-2505.47,0.9851
4,727,425,-8437.67,0.9801
5,873,459,-9138.57,0.9752
6,570,340,-6726.27,0.9704
7,488,260,-5122.27,0.9655
8,1033,583,-11625.77,0.9607
9,1471,783,-15673.37,0.9559
10,478,256,-5044.37,0.9511
11,401,187,-3661.87,0.9464
12,452,236,-4641.67,0.9416
13,319,141,-2735.27,0.9369
14,243,123,-2361.87,0.9322
15,266,122,-2348.17,0.9276
16,360,190,-3714.27,0.9229
17,540,286,-5650.17,0.9183
18,226,110,-2103.47,0.9137
19,283,143,-2767.67,0.9092
20,129,67,-1232.67,0.9046
21,97,49,-870.47,0.9001
22,248,120,-2306.17,0.8956
23,147,65,-1196.37,0.8911
24,219,107,-2042.67,0.8867
25,228,106,-2024.37,0.8822
26,263,129,-2484.97,0.8778
27,219,89,-1684.77,0.8734
28,122,54,-973.87,0.8691
29,224,110,-2100.67,0.8647
30,152,68,-1257.07,0.8604
31,89,39,-670.87,0.8561
32,129,57,-1034.67,0.8518
33,114,58,-1052.07,0.8475
34,66,22,-329.37,0.8433
35,152,74,-1375.57,0.8391
36,81,29,-471.27,0.8349
37,185,87,-1639.57,0.8307
38,113,43,-753.97,0.8266
39,101,45,-791.47,0.8224
40,85,33,-550.97,0.8183
41,109,51,-912.17,0.8142
42,135,59,-1074.57,0.8102
43,194,84,-1582.57,0.8061
44,137,63,-1154.47,0.8021
45,131,47,-836.77,0.7981
46,127,49,-874.97,0.7941
47,114,50,-893.37,0.7901
48,123,57,-1033.77,0.7862
49,92,36,-610.87,0.7822
50,71,27,-429.67,0.7783
51,59,19,-268.57,0.7744
52,128,54,-974.47,0.7705
53,106,48,-852.17,0.7667
54,96,40,-691.77,0.7629
55,87,37,-629.97,0.7590
56,112,48,-853.07,0.7553
57,92,32,-531.67,0.7515
58,101,41,-711.67,0.7477
59,120,48,-854.97,0.7440
60,100,40,-692.57,0.7403
61,102,48,-851.67,0.7366
62,74,28,-449.77,0.7329
63,100,46,-810.77,0.7292
64,134,60,-1094.77,0.7256
65,112,50,-893.27,0.7219
66,113,43,-753.97,0.7183
67,70,24,-369.77,0.7147
68,89,33,-551.77,0.7112
69,67,23,-349.37,0.7076
70,101,49,-871.27,0.7041
71,60,24,-368.07,0.7005
72,75,29,-470.07,0.6970
73,109,45,-793.37,0.6936
74,56,14,-169.27,0.6901
75,84,30,-491.37,0.6866
76,83,29,-471.37,0.6832
77,74,30,-489.07,0.6798
78,56,16,-208.87,0.6764
79,77,27,-429.97,0.6730
80,86,32,-530.77,0.6696
81,63,17,-229.77,0.6663
82,81,27,-431.37,0.6630
83,84,34,-569.97,0.6597
84,68,26,-409.27,0.6564
85,82,32,-530.27,0.6531
86,95,37,-632.17,0.6498
87,74,28,-450.07,0.6466
88,56,18,-248.47,0.6433
89,65,25,-388.57,0.6401
90,85,29,-471.77,0.6369
91,59,19,-268.57,0.6337
92,80,22,-331.87,0.6306
93,71,27,-429.07,0.6274
94,47,11,-108.07,0.6243
95,79,31,-510.17,0.6211
96,82,34,-570.47,0.6180
97,70,26,-409.67,0.6149
98,77,23,-351.37,0.6119
99,56,14,-168.97,0.6088
100,61,27,-427.67,0.6058
101,82,40,-688.97,0.6027
102,68,22,-330.07,0.5997
103,51,19,-267.27,0.5967
104,64,20,-289.37,0.5937
105,56,20,-288.07,0.5908
106,58,22,-328.07,0.5878
107,72,22,-330.27,0.5849
108,57,17,-228.87,0.5820
109,46,10,-88.07,0.5790
110,62,20,-288.67,0.5762
111,55,17,-228.47,0.5733
112,73,25,-390.47,0.5704
113,44,12,-127.27,0.5676
114,80,30,-489.67,0.5647
115,79,25,-391.37,0.5619
116,61,17,-229.37,0.5591
117,66,24,-368.97,0.5563
118,51,15,-188.07,0.5535
119,86,36,-610.27,0.5507
120,55,15,-188.87,0.5480
121,46,14,-167.27,0.5452
122,64,20,-289.37,0.5425
123,84,22,-332.67,0.5398
124,52,12,-128.87,0.5371
125,74,22,-329.77,0.5344
126,60,16,-209.67,0.5318
127,48,8,-48.57,0.5291
128,71,23,-350.17,0.5264
129,49,15,-187.67,0.5238
130,64,20,-289.67,0.5212
131,73,29,-468.77,0.5186
132,58,14,-169.67,0.5160
133,53,15,-188.47,0.5134
134,59,17,-229.27,0.5108
135,63,19,-269.07,0.5083
136,80,18,-252.67,0.5058
137,42,6,-7.77,0.5032
138,55,15,-188.87,0.5007
139,52,12,-128.57,0.4982
140,50,14,-167.77,0.4957
141,45,9,-67.77,0.4932
142,81,21,-312.27,0.4908
143,46,12,-127.67,0.4883
144,47,9,-68.17,0.4859
145,41,9,-67.27,0.4834
146,77,27,-430.87,0.4810
147,64,18,-250.07,0.4786
148,44,12,-127.27,0.4762
149,46,10,-88.07,0.4738
150,58,20,-288.47,0.4715
151,50,10,-88.57,0.4691
152,47,11,-108.07,0.4668
153,59,19,-268.27,0.4644
154,62,18,-249.37,0.4621
155,44,8,-48.07,0.4598
156,47,13,-147.67,0.4575
157,45,7,-28.17,0.4552
158,52,18,-247.67,0.4529
159,70,20,-290.57,0.4507
160,52,14,-168.47,0.4484
161,50,12,-128.47,0.4462
162,40,8,-47.27,0.4440
163,53,15,-188.17,0.4417
164,49,15,-187.67,0.4395
165,49,13,-148.07,0.4373
166,50,12,-128.17,0.4351
167,62,18,-249.67,0.4330
168,57,17,-228.87,0.4308
169,42,10,-87.27,0.4286
170,47,11,-107.77,0.4265
171,49,15,-187.67,0.4244
172,47,13,-147.67,0.4223
173,43,11,-107.27,0.4201
174,53,11,-108.37,0.4180
175,50,10,-88.57,0.4159
176,46,10,-87.77,0.4139
177,52,10,-88.67,0.4118
178,48,10,-88.47,0.4097
179,52,16,-208.07,0.4077
180,46,8,-48.17,0.4057
181,55,19,-268.07,0.4036
182,56,16,-208.87,0.4016
183,45,9,-68.07,0.3996
184,49,9,-68.57,0.3976
185,50,12,-128.47,0.3956
186,47,5,10.73,0.3936
187,51,9,-68.97,0.3917
188,42,10,-87.27,0.3897
189,44,12,-127.27,0.3878
190,56,18,-248.17,0.3858
191,47,9,-68.17,0.3839
192,44,8,-48.07,0.3820
193,42,10,-87.27,0.3801
194,38,6,-7.27,0.3782
195,46,8,-48.17,0.3763
196,51,13,-147.87,0.3744
197,48,14,-167.37,0.3725
198,46,10,-88.07,0.3707
199,45,7,-28.47,0.3688
200,46,8,-48.47,0.3670
201,41,5,11.93,0.3651
202,45,9,-68.07,0.3633
203,42,8,-47.67,0.3615
204,54,12,-128.97,0.3597
205,45,11,-107.37,0.3579
206,48,10,-88.47,0.3561
207,44,10,-87.37,0.3543
208,45,5,11.13,0.3525
209,38,6,-7.27,0.3508
210,45,11,-107.67,0.3490
211,39,7,-27.27,0.3473
212,38,6,-7.27,0.3455
213,43,7,-28.07,0.3438
214,41,9,-67.27,0.3421
215,40,6,-7.67,0.3404
216,36,4,32.73,0.3387
217,47,11,-108.07,0.3370
218,45,9,-68.07,0.3353
219,49,9,-68.87,0.3336
220,48,8,-48.57,0.3320
221,35,3,52.73,0.3303
222,44,10,-87.67,0.3286
223,37,5,12.73,0.3270
224,48,12,-128.07,0.3254
225,47,9,-68.47,0.3237
226,37,5,12.73,0.3221
227,39,7,-27.27,0.3205
228,59,19,-268.57,0.3189
229,50,10,-88.57,0.3173
230,50,10,-88.87,0.3157
231,42,8,-47.37,0.3141
232,44,10,-87.67,0.3126
233,44,10,-87.67,0.3110
234,43,9,-67.67,0.3095
235,49,11,-108.47,0.3079
236,43,9,-67.67,0.3064
237,36,4,32.73,0.3048
238,42,10,-87.27,0.3033
239,39,7,-27.27,0.3018
240,38,4,32.63,0.3003
241,42,6,-8.07,0.2988
242,62,18,-249.67,0.2973
243,42,10,-87.27,0.2958
244,41,7,-27.67,0.2943
245,42,8,-47.37,0.2929
246,44,10,-87.67,0.2914
247,40,8,-47.27,0.2899
248,40,6,-7.37,0.2885
249,54,10,-89.67,0.2870
250,36,4,32.73,0.2856
251,36,4,32.73,0.2842
252,36,4,32.73,0.2828
253,39,5,12.33,0.2813
254,46,10,-87.77,0.2799
255,44,12,-127.27,0.2785
256,43,7,-27.77,0.2771
257,43,7,-27.77,0.2758
258,44,8,-48.07,0.2744
259,34,2,72.73,0.2730
260,43,7,-28.07,0.2716
261,42,8,-47.67,0.2703
262,46,8,-48.17,0.2689
263,43,9,-67.37,0.2676
264,43,9,-67.67,0.2663
265,35,3,52.73,0.2649
266,40,6,-7.67,0.2636
267,42,10,-87.27,0.2623
268,35,3,52.73,0.2610
269,46,6,-8.57,0.2597
270,40,8,-47.27,0.2584
271,43,5,12.13,0.2571
272,40,6,-7.67,0.2558
273,35,3,52.73,0.2545
274,44,10,-87.67,0.2532
275,38,4,32.33,0.2520
276,43,7,-28.07,0.2507
277,42,10,-87.27,0.2495
278,38,6,-7.27,0.2482
279,47,11,-107.77,0.2470
280,36,4,32.73,0.2457
281,43,7,-27.77,0.2445
282,41,9,-67.27,0.2433
283,41,9,-67.27,0.2421
284,36,4,32.73,0.2409
285,35,3,52.73,0.2397
286,40,4,31.93,0.2385
287,36,4,32.73,0.2373
288,47,9,-68.47,0.2361
289,40,6,-7.67,0.2349
290,38,4,32.33,0.2337
291,36,4,32.73,0.2326
292,37,5,12.73,0.2314
293,41,5,11.93,0.2302
294,39,5,12.33,0.2291
295,34,2,72.73,0.2279
296,34,2,72.73,0.2268
297,40,2,72.13,0.2257
298,41,7,-27.67,0.2245
299,40,2,71.83,0.2234
300,36,2,72.33,0.2223
301,36,2,72.33,0.2212
302,33,1,92.73,0.2201
303,40,8,-47.27,0.2190
304,38,4,32.33,0.2179
305,40,6,-7.37,0.2168
306,48,10,-88.47,0.2157
307,37,3,52.33,0.2146
308,43,7,-27.47,0.2136
309,35,3,52.73,0.2125
310,35,3,52.73,0.2114
311,37,5,12.73,0.2104
312,33,1,92.73,0.2093
313,39,5,12.33,0.2083
314,43,9,-67.67,0.2072
315,34,2,72.73,0.2062
316,36,4,32.73,0.2052
317,45,7,-28.47,0.2041
318,42,6,-8.07,0.2031
319,39,7,-27.27,0.2021
320,38,6,-7.27,0.2011
321,41,7,-27.67,0.2001
322,38,6,-7.27,0.1991
323,44,8,-47.47,0.1981
324,35,3,52.73,0.1971
325,39,7,-27.27,0.1961
326,38,4,32.33,0.1951
327,40,4,31.93,0.1942
