x,y,Q_up,Q_down,Q_left,Q_right
1,1,9.2168,-11.7116,-11.7094,-11.7234
1,2,10.1443,7.6524,-10.9077,-10.8981
1,3,10.4710,8.2712,-10.5949,-10.5838
1,4,10.8907,8.6171,-10.2070,-10.1971
1,5,-9.6812,9.1085,-9.6879,11.4687
2,5,-9.5064,-9.5128,9.2110,11.6801
3,5,-9.2717,11.9567,9.4316,-9.2680
3,4,11.1277,13.8624,-7.5535,-7.5488
3,3,12.9151,16.0258,-5.5794,-5.5788
3,2,14.9505,18.5451,-3.3218,-3.3285
3,1,17.2394,-0.7687,-0.7753,21.3626
4,1,0.6916,0.7110,18.4420,23.0260
5,1,2.4226,2.4290,19.9854,24.9370
6,1,4.4320,4.4374,21.8032,27.1540
7,1,6.7624,6.7626,23.9325,29.7298
8,1,9.4519,9.4520,26.3302,32.7178
9,1,36.1824,12.5745,29.1806,12.5734
9,2,38.9971,31.3516,15.0912,15.0905
9,3,17.9054,33.8780,42.1257,17.9060
8,3,22.1116,22.1158,46.8034,37.7884
7,3,52.1773,26.9508,26.9569,42.1482
7,4,56.8581,45.8053,31.1543,31.1526
7,5,35.8477,50.0344,35.8471,62.0614
8,5,41.6069,41.6036,55.2797,68.4671
9,5,75.8678,48.2555,61.2829,48.2529
9,6,83.0808,67.0367,54.7630,54.7576
9,7,91.0906,73.5554,61.9816,61.9747
9,8,100.0000,80.7773,70.0000,70.0000
