x,y,Q_up,Q_down,Q_left,Q_right
1,1,-9.1164,-9.0638,-9.1934,11.6858
2,1,-8.7774,-8.6788,9.2836,12.2126
3,1,12.1031,-8.6422,9.8399,-8.8319
3,2,11.8665,9.3178,-8.8718,-8.9229
3,3,11.6153,8.8787,-9.1350,-9.2416
3,4,11.4342,9.1934,-9.2265,-9.2640
3,5,-9.5012,9.5614,11.2475,-9.4589
2,5,-8.0807,-8.1128,12.6163,10.7762
1,5,14.1112,12.1051,-6.7376,12.3769
1,4,13.6344,8.6879,-11.5683,-9.2850
1,3,11.4017,-12.9092,-16.2189,-14.0539
1,6,14.3569,12.5098,-6.5245,-6.5728
1,7,14.5544,12.2144,-6.2819,-6.3708
1,8,14.8317,12.7568,-6.0883,-6.0921
1,9,15.2540,12.3551,-5.6804,-5.7221
1,10,15.7297,13.5950,-5.2616,-5.3071
1,11,-4.7385,14.1859,-4.9632,16.2700
2,11,-4.9329,-4.9835,13.9571,15.9817
3,11,15.8379,-5.1969,13.4760,-5.2127
3,12,16.5070,14.2869,-4.7053,-4.4993
3,13,-4.0307,13.5504,15.1230,17.2351
4,13,-3.9913,-4.1242,14.6520,17.0154
5,13,-4.2811,16.7917,14.0847,-4.3791
2,13,-4.4086,-10.6065,14.0731,16.9323
1,13,-26.4033,-11.0744,-11.1029,16.5509
5,12,15.4101,17.6771,-3.4719,-3.3477
5,11,16.5996,-2.3729,-2.3610,18.7031
6,11,-2.5152,-2.4949,16.1095,18.6554
7,11,18.5821,-2.6584,15.3814,-2.4646
7,12,19.2262,16.8118,-1.8806,-1.9138
7,13,-1.0954,17.5975,-1.0709,20.0335
8,13,-1.1472,-1.1080,17.2010,19.8780
9,13,-1.1657,19.9952,17.5080,-1.1785
9,12,18.5365,21.0947,-0.1646,-0.0933
9,11,17.5237,22.4497,1.0878,1.1432
9,10,21.1210,24.1476,2.7863,2.7966
9,9,22.7582,4.6793,26.0276,4.5048
8,9,6.6541,6.3424,28.0816,24.9959
7,9,8.7389,30.3174,8.7983,27.2021
7,8,28.9034,32.4574,10.8870,10.7904
7,7,31.1562,34.8695,13.0357,13.0313
7,6,33.1469,37.5817,15.4486,15.2958
7,5,34.9834,18.1191,18.1913,40.3084
8,5,19.5810,19.5413,37.2042,41.7762
9,5,43.4155,21.1795,38.8579,21.1739
9,6,44.7278,39.8226,22.3550,22.4164
9,7,23.7019,41.1469,23.5829,46.1149
10,7,25.5267,25.5069,42.9927,47.9427
11,7,27.4487,49.9357,44.2855,27.4279
11,6,48.1183,53.5193,30.8317,30.7927
11,5,51.1758,34.3973,34.4084,57.2202
12,5,36.9757,37.0119,53.6470,59.9767
13,5,63.0064,56.7169,56.0167,39.8431
13,6,65.2666,58.5188,41.9273,41.9487
13,7,67.6065,60.5559,44.0939,44.1517
13,8,70.0346,62.6986,46.4512,46.3849
13,4,60.6553,52.0543,35.8438,35.5375
13,3,57.1390,46.2138,32.6411,28.3773
13,2,50.6680,42.8475,24.5530,25.7088
13,1,47.5650,22.3632,37.8795,21.1395
12,1,14.3192,18.7136,35.6761,42.0223
11,1,23.0002,1.8141,13.2588,39.0445
11,2,-10.7578,30.0015,-1.7273,-27.9973
11,3,-33.7080,-9.9825,-15.8451,-36.0482
10,3,-33.3794,-33.9471,-17.4266,-12.1041
9,3,-36.7306,-36.1232,-17.3237,-14.5734
8,3,-36.0951,-35.8597,-18.2974,-14.9136
7,3,-38.0993,-37.2809,-19.2211,-16.4723
6,3,-38.6753,-37.8456,-20.8815,-18.0102
5,3,-20.3066,-22.0947,-39.3802,-19.3006
5,2,-19.0345,-19.8223,-38.9714,-38.8568
5,1,-19.8264,-38.7211,-39.2810,-18.6094
6,1,-38.3735,-38.5237,-20.0673,-18.6707
7,1,-38.7551,-40.0413,-19.2470,-19.3322
5,4,-22.7705,-21.2267,-42.2487,-41.3221
5,5,-23.5359,-22.9766,-42.2861,-42.0547
5,6,-24.5616,-23.8187,-44.4003,-42.9923
5,7,-24.7966,-24.5145,-43.9105,-43.1417
5,8,-27.3581,-25.8942,-45.2320,-44.6344
5,9,-47.7572,-27.1038,-28.7676,-48.4388
4,9,-45.5734,-44.9587,-26.6134,-25.9546
3,9,-47.9261,-27.7757,-47.8106,-24.7751
3,8,-25.9030,-29.1713,-49.2357,-46.4517
3,7,-27.9942,-47.9513,-48.4871,-56.5308
8,1,-39.5571,-40.7533,-20.6144,-19.9662
9,1,-40.8494,-41.7207,-21.1071,-40.5034
13,9,48.8340,64.9453,72.5807,48.8239
12,9,52.5654,52.5544,76.4606,68.5464
11,9,80.7291,56.6927,56.5443,72.6011
11,10,84.0153,75.5488,59.8182,59.8142
11,11,87.4710,78.7194,63.1539,63.1692
11,12,91.4703,82.3350,66.8213,66.8880
11,13,71.1003,86.3584,71.1386,95.9883
12,13,74.9669,74.9151,89.9667,99.9774
