episode,steps,hit_count,total_reward,epsilon
1,1461,835,-19151.12,0.9900
2,671,361,-8092.42,0.9801
3,625,389,-9092.62,0.9703
4,1627,917,-21259.52,0.9606
5,457,243,-5330.62,0.9510
6,385,215,-4683.22,0.9415
7,2317,1305,-29683.62,0.9321
8,621,341,-7611.22,0.9227
9,292,168,-3628.82,0.9135
10,286,148,-3260.62,0.9044
11,400,228,-5242.82,0.8953
12,960,562,-13554.72,0.8864
13,344,172,-3839.32,0.8775
14,124,60,-1167.72,0.8687
15,203,95,-1977.12,0.8601
16,175,79,-1622.12,0.8515
17,181,77,-1562.42,0.8429
18,115,47,-933.22,0.8345
19,132,68,-1345.42,0.8262
20,88,38,-704.72,0.8179
21,188,80,-1698.52,0.8097
22,153,75,-1497.82,0.8016
23,181,85,-1742.92,0.7936
24,157,83,-1732.92,0.7857
25,211,101,-2225.92,0.7778
26,209,103,-2188.52,0.7700
27,115,51,-1003.82,0.7623
28,124,60,-1183.82,0.7547
29,297,121,-2856.02,0.7472
30,412,188,-4571.92,0.7397
31,1144,458,-11831.02,0.7323
32,1476,612,-15076.12,0.7250
33,502,218,-5119.32,0.7177
34,243,113,-2491.02,0.7106
35,219,87,-1872.82,0.7034
36,158,62,-1292.42,0.6964
37,348,140,-3318.12,0.6894
38,211,85,-1917.62,0.6826
39,293,127,-2780.62,0.6757
40,138,60,-1198.12,0.6690
41,135,47,-928.42,0.6623
42,252,96,-2218.42,0.6557
43,127,55,-1158.72,0.6491
44,68,20,-309.02,0.6426
45,134,50,-992.72,0.6362
46,134,44,-898.82,0.6298
47,216,86,-1975.32,0.6235
48,88,34,-604.62,0.6173
49,133,55,-1069.82,0.6111
50,110,42,-816.32,0.6050
51,89,29,-520.32,0.5990
52,100,38,-686.72,0.5930
53,75,25,-404.92,0.5870
54,114,34,-665.92,0.5812
55,61,17,-233.52,0.5754
56,107,35,-638.72,0.5696
57,86,24,-390.22,0.5639
58,165,55,-1192.12,0.5583
59,94,42,-765.52,0.5527
60,146,50,-1043.92,0.5472
61,134,46,-953.32,0.5417
62,300,90,-2315.12,0.5363
63,157,49,-1079.42,0.5309
64,2421,681,-18097.92,0.5256
65,367,125,-3450.72,0.5203
66,166,54,-1390.82,0.5151
67,75,19,-289.12,0.5100
68,157,41,-852.12,0.5049
69,83,23,-374.92,0.4998
70,59,19,-271.02,0.4948
71,167,45,-906.32,0.4899
72,394,98,-2185.42,0.4850
73,72,24,-400.92,0.4801
74,181,43,-1021.32,0.4753
75,117,47,-948.62,0.4706
76,130,30,-656.12,0.4659
77,85,17,-268.92,0.4612
78,87,21,-330.62,0.4566
79,98,24,-423.52,0.4520
80,91,21,-372.12,0.4475
81,159,41,-979.62,0.4430
82,72,24,-388.62,0.4386
83,82,22,-363.02,0.4342
84,114,36,-667.42,0.4299
85,107,27,-514.12,0.4256
86,99,17,-302.22,0.4213
87,75,21,-323.82,0.4171
88,106,22,-398.42,0.4129
89,141,37,-770.82,0.4088
90,45,13,-42.72,0.4047
91,193,51,-1089.42,0.4007
92,129,25,-494.52,0.3967
93,88,12,-162.72,0.3927
94,50,12,-127.82,0.3888
95,80,16,-239.52,0.3849
96,55,13,-149.82,0.3810
97,47,9,-70.22,0.3772
98,94,20,-341.22,0.3735
99,37,9,-62.32,0.3697
100,59,9,-71.82,0.3660
101,58,12,-140.62,0.3624
102,53,9,-71.42,0.3587
103,48,12,-128.02,0.3552
104,44,10,-84.82,0.3516
105,32,2,76.88,0.3481
106,35,5,17.18,0.3446
107,52,14,-172.12,0.3412
108,39,5,17.28,0.3378
109,39,7,-23.62,0.3344
110,32,4,37.68,0.3310
111,74,12,-170.42,0.3277
112,42,8,-44.22,0.3244
113,48,10,-86.72,0.3212
114,71,15,-208.82,0.3180
115,38,4,36.48,0.3148
116,40,10,-83.42,0.3117
117,60,8,-56.22,0.3085
118,51,9,-72.42,0.3055
119,96,22,-433.12,0.3024
120,104,22,-451.12,0.2994
121,47,11,-106.42,0.2964
122,54,8,-49.82,0.2934
123,43,5,16.38,0.2905
124,37,7,-22.32,0.2876
125,60,6,-11.42,0.2847
126,45,7,71.78,0.2819
127,34,4,37.48,0.2790
128,70,10,-129.02,0.2763
129,40,6,-3.82,0.2735
130,40,4,35.68,0.2708
131,48,6,-6.52,0.2680
132,40,8,-43.92,0.2654
133,30,2,77.98,0.2627
134,41,5,15.28,0.2601
135,72,10,-154.82,0.2575
136,50,4,22.38,0.2549
137,37,7,-22.52,0.2524
