episode,steps,hit_count,total_reward,epsilon
1,962,526,-10488.97,0.9950
2,1057,595,-11874.17,0.9900
3,599,331,-6555.37,0.9851
4,423,233,-4579.77,0.9801
5,448,256,-5040.17,0.9752
6,880,470,-9363.77,0.9704
7,205,113,-2160.17,0.9655
8,514,286,-5647.37,0.9607
9,187,95,-1800.47,0.9559
10,533,283,-5591.77,0.9511
11,177,103,-1956.57,0.9464
12,700,356,-7070.57,0.9416
13,383,201,-3938.47,0.9369
14,227,115,-2204.47,0.9322
15,411,221,-4340.07,0.9276
16,197,99,-1881.67,0.9229
17,235,133,-2562.17,0.9183
18,354,194,-3793.77,0.9137
19,408,222,-4358.97,0.9092
20,116,58,-1053.37,0.9046
21,212,110,-2102.17,0.9001
22,172,86,-1618.97,0.8956
23,153,83,-1555.77,0.8911
24,199,105,-2000.57,0.8867
25,110,52,-933.37,0.8822
26,436,228,-4483.37,0.8778
27,145,71,-1316.57,0.8734
28,86,40,-691.27,0.8691
29,184,92,-1740.47,0.8647
30,131,59,-1076.47,0.8604
31,118,58,-1054.07,0.8561
32,163,67,-1241.27,0.8518
33,106,46,-814.07,0.8475
34,147,61,-1119.27,0.8433
35,99,47,-832.47,0.8391
36,128,56,-1016.47,0.8349
37,102,46,-813.27,0.8307
38,100,50,-892.07,0.8266
39,115,51,-914.57,0.8224
40,119,57,-1034.17,0.8183
41,150,68,-1258.17,0.8142
42,145,69,-1277.27,0.8102
43,62,28,-448.87,0.8061
44,68,32,-528.97,0.8021
45,69,25,-390.87,0.7981
46,89,37,-632.47,0.7941
47,83,43,-750.07,0.7901
48,73,25,-391.67,0.7862
49,98,48,-851.77,0.7822
50,94,38,-652.97,0.7783
51,96,46,-811.77,0.7744
52,95,35,-594.07,0.7705
53,104,46,-813.67,0.7667
54,89,45,-790.57,0.7629
55,61,25,-389.27,0.7590
56,67,29,-469.67,0.7553
57,121,57,-1034.87,0.7515
58,100,44,-772.97,0.7477
59,100,42,-733.67,0.7440
60,87,27,-433.77,0.7403
61,81,29,-472.47,0.7366
62,106,44,-774.47,0.7329
63,95,47,-831.37,0.7292
64,74,36,-609.67,0.7256
65,73,33,-550.07,0.7219
66,67,25,-390.47,0.7183
67,54,20,-288.87,0.7147
68,51,19,-268.47,0.7112
69,92,42,-731.77,0.7076
70,87,43,-750.57,0.7041
71,93,35,-593.67,0.7005
72,67,27,-429.77,0.6970
73,70,28,-450.47,0.6936
74,88,36,-612.17,0.6901
75,97,39,-673.37,0.6866
76,63,23,-350.07,0.6832
77,96,36,-613.77,0.6798
78,47,13,-148.87,0.6764
79,81,27,-432.87,0.6730
80,78,40,-689.37,0.6696
81,70,28,-450.47,0.6663
82,62,20,-290.17,0.6630
83,64,28,-449.27,0.6597
84,77,29,-471.37,0.6564
85,78,28,-451.77,0.6531
86,72,28,-450.87,0.6498
87,72,26,-410.97,0.6466
88,64,24,-370.07,0.6433
89,57,23,-348.87,0.6401
90,83,35,-591.37,0.6369
91,73,29,-470.87,0.6337
92,77,27,-431.77,0.6306
93,71,25,-391.27,0.6274
94,55,19,-269.27,0.6243
95,61,23,-349.67,0.6211
96,66,28,-449.67,0.6180
97,72,26,-411.27,0.6149
98,64,18,-251.27,0.6119
99,93,35,-593.37,0.6088
100,56,18,-249.67,0.6058
101,41,13,-147.67,0.6027
102,71,27,-430.87,0.5997
103,80,32,-531.67,0.5967
104,53,15,-189.67,0.5937
105,63,21,-310.47,0.5908
106,42,12,-128.07,0.5878
107,49,15,-188.87,0.5849
108,57,21,-309.27,0.5820
109,65,25,-390.07,0.5790
110,45,17,-227.67,0.5762
111,44,12,-128.47,0.5733
112,50,16,-208.87,0.5704
113,51,13,-149.67,0.5676
114,49,15,-188.87,0.5647
115,68,26,-410.47,0.5619
116,78,26,-412.47,0.5591
117,58,22,-329.27,0.5563
118,50,18,-248.47,0.5535
119,62,18,-250.87,0.5507
120,44,16,-207.67,0.5480
121,37,9,-67.67,0.5452
122,56,20,-289.27,0.5425
123,54,16,-209.67,0.5398
124,48,12,-129.27,0.5371
125,49,11,-109.67,0.5344
126,53,19,-268.87,0.5318
127,58,20,-289.67,0.5291
128,53,11,-110.47,0.5264
129,67,25,-390.47,0.5238
130,50,18,-248.47,0.5212
131,46,16,-208.07,0.5186
132,47,13,-148.87,0.5160
133,57,15,-190.17,0.5134
134,57,15,-190.47,0.5108
135,46,12,-128.87,0.5083
136,53,13,-150.07,0.5058
137,47,13,-148.87,0.5032
138,51,11,-109.77,0.5007
139,42,8,-48.87,0.4982
140,56,18,-249.67,0.4957
141,39,9,-68.07,0.4932
142,43,11,-108.47,0.4908
143,36,6,-8.07,0.4883
144,40,8,-48.47,0.4859
145,38,10,-87.67,0.4834
146,49,17,-228.47,0.4810
147,45,15,-188.07,0.4786
148,41,13,-147.67,0.4762
149,47,11,-109.27,0.4738
150,45,9,-69.27,0.4715
151,33,5,12.33,0.4691
152,41,9,-68.47,0.4668
153,41,11,-108.07,0.4644
154,37,9,-67.67,0.4621
155,48,16,-208.47,0.4598
156,53,17,-229.27,0.4575
157,54,18,-249.27,0.4552
158,51,13,-149.67,0.4529
159,45,15,-188.07,0.4507
160,55,17,-229.37,0.4484
161,36,8,-47.67,0.4462
162,53,13,-150.07,0.4440
163,36,8,-47.67,0.4417
164,37,9,-67.67,0.4395
165,37,5,11.53,0.4373
166,37,7,-27.77,0.4351
167,37,9,-67.67,0.4330
168,48,8,-49.77,0.4308
169,47,11,-109.27,0.4286
170,40,6,-8.87,0.4265
171,42,12,-128.07,0.4244
172,37,7,-28.07,0.4223
173,40,10,-88.07,0.4201
174,44,14,-168.07,0.4180
175,54,20,-288.87,0.4159
176,33,5,12.33,0.4139
177,51,13,-149.67,0.4118
178,42,10,-88.47,0.4097
179,41,7,-28.87,0.4077
180,42,10,-88.47,0.4057
181,45,9,-69.27,0.4036
182,39,9,-68.07,0.4016
183,58,18,-250.07,0.3996
184,40,10,-88.07,0.3976
185,41,9,-68.47,0.3956
186,39,9,-68.07,0.3936
187,36,8,-47.67,0.3917
188,34,6,-7.67,0.3897
189,36,6,-7.77,0.3878
190,34,6,-7.67,0.3858
191,64,22,-330.47,0.3839
192,43,7,-29.27,0.3820
193,42,10,-88.47,0.3801
194,38,10,-87.67,0.3782
195,44,12,-128.47,0.3763
196,41,7,-28.87,0.3744
