x,y,Q_up,Q_down,Q_left,Q_right
1,1,-3.6907,-3.6898,-3.6860,38.2935
2,1,-1.9790,-1.9754,15.7221,41.6187
3,1,-0.7024,-0.7066,17.1861,44.1747
4,1,0.7738,0.7766,18.4977,46.4686
5,1,2.4949,6.4331,20.0753,49.1663
6,1,4.4958,4.4947,21.8717,52.1736
7,1,6.8168,6.8230,23.9874,55.4017
8,1,9.5222,9.5247,26.4362,58.7971
9,1,62.1961,12.6448,29.2585,12.6438
9,2,64.7331,31.4362,15.1717,15.1737
9,3,17.9856,33.9684,67.2403,17.9871
8,3,22.1881,22.1924,70.8815,37.8639
7,3,74.8856,27.0222,27.0219,42.2184
7,4,77.8011,45.8732,33.5231,31.2111
7,5,35.8903,50.0932,35.8897,80.8530
8,5,41.6497,41.6547,55.3319,84.6530
9,5,88.8750,48.2810,61.3255,48.2830
9,6,92.3949,67.0807,54.7779,54.7780
9,7,96.1000,73.5725,61.9879,61.9893
9,8,100.0000,80.7875,70.0000,70.0000
