x,y,Q_up,Q_down,Q_left,Q_right
1,1,13.5983,-7.7596,-7.7573,-7.7627
1,2,14.9721,11.6029,-6.5256,-6.5294
1,3,15.8889,12.6412,-5.7291,-5.7311
1,4,16.9003,13.5032,-4.7872,-4.7854
1,5,18.1592,14.5048,-3.6746,-3.6700
1,6,19.6140,15.7081,-2.3450,-2.3424
1,7,-0.7769,17.1409,-0.7665,21.3734
2,7,0.3062,0.3050,18.0354,22.5314
3,7,23.9097,1.5283,19.1498,1.5260
3,8,26.1700,21.0708,3.5901,3.5935
3,9,6.0448,23.2968,23.2127,28.9521
4,9,7.8553,7.8540,24.8466,30.9591
5,9,9.8526,33.1979,26.6483,9.8552
2,9,4.1271,4.1353,21.4151,26.8501
1,9,2.3551,2.1888,2.3252,24.9195
5,8,29.7792,36.9275,13.2201,13.2190
5,7,33.3615,17.1700,17.1747,41.2997
6,7,20.3620,20.3616,36.0960,44.8347
7,7,23.9753,48.8343,39.3685,23.9751
7,6,44.5504,55.0330,29.5528,29.5529
7,5,50.2152,35.8623,35.8596,62.0663
8,5,41.6358,41.6307,55.3094,68.4714
9,5,75.8314,61.2396,61.3025,48.2724
9,4,69.0614,55.6497,42.1450,42.1451
9,3,62.9396,50.7566,36.6295,36.6275
9,6,83.0485,67.0725,54.7656,54.7628
9,2,57.4286,46.2394,31.6467,31.6482
9,1,52.4560,27.1944,42.2528,27.1719
8,1,22.2893,22.3225,37.9380,47.0360
7,1,34.1217,18.0416,18.0436,42.2949
7,2,29.7920,36.8780,13.1705,13.1766
7,3,8.7933,32.0160,25.7082,8.6936
6,3,6.0057,5.9161,23.0103,28.9859
5,3,2.5571,18.6152,3.2098,26.2389
5,2,23.4695,16.9814,-1.2162,-0.7543
5,1,21.4087,-1.0817,12.9192,-1.8552
4,1,-7.4682,-9.1037,11.6436,17.8122
3,1,2.0137,-8.3643,-8.9588,15.0835
3,2,1.1416,2.5024,-18.9090,-18.8264
3,3,0.5597,0.5367,-19.5060,-19.5076
3,4,0.0781,-0.3857,-19.9785,-19.9832
3,5,-20.4278,-0.7818,-20.4554,-0.5368
4,5,-21.1728,-21.1638,-1.4593,-1.3212
5,5,-21.8848,-21.8902,-2.1073,-21.8904
9,7,91.1000,73.5686,61.9874,61.9870
9,8,100.0000,80.7815,70.0000,70.0000
