x,y,Q_up,Q_down,Q_left,Q_right
1,1,16.5640,-4.4515,-4.6265,-4.4546
1,2,17.3442,14.7657,-3.6768,-3.6483
1,3,17.4999,15.4287,-3.5358,-3.4602
1,4,17.7292,15.4007,-3.3065,-3.2535
1,5,17.9759,15.6211,-3.0716,-3.2815
1,6,18.2817,16.1108,-2.9389,-2.7550
1,7,-2.3318,15.7616,-2.5506,18.6452
2,7,-2.4513,-2.5593,16.2708,18.5892
3,7,18.5539,-2.5086,15.7437,-2.4433
3,8,18.9466,15.7802,-2.0962,-2.0816
3,9,-1.6120,16.6178,-1.5959,19.4325
4,9,-1.6920,-1.6543,16.2179,19.4298
5,9,19.4229,-1.7631,16.4436,-1.7046
5,10,19.9156,17.3158,-1.2072,-1.1960
5,11,-0.6537,17.5261,-0.5854,20.6015
6,11,-0.6751,-0.5564,17.9320,20.6005
7,11,-0.5485,20.5807,17.8573,-0.7364
7,10,18.6096,21.9801,0.6597,0.7476
7,9,20.8051,23.5767,2.2962,2.2892
7,8,22.3146,25.3504,4.0006,3.8539
7,7,23.1632,5.8606,27.2929,5.8494
6,7,7.8787,7.7949,29.4391,26.2200
5,7,10.0344,31.7183,10.0439,28.3078
5,6,30.3762,33.9768,12.1797,12.2200
5,5,32.2242,14.5493,14.4447,36.3957
6,5,15.5398,15.5182,33.2761,37.5294
7,5,16.7643,38.8330,34.4389,16.7818
7,4,37.2338,41.6663,19.4215,19.3114
7,3,39.6933,44.6668,22.2567,22.2085
7,2,42.8250,47.7642,25.3098,25.3666
7,1,45.7648,28.5411,45.7393,51.2263
6,1,24.8392,24.9915,38.3198,48.7159
5,1,19.9307,9.7314,28.9269,44.1995
8,1,30.5169,30.5681,47.6350,53.3796
9,1,55.7123,32.8180,49.4753,32.8689
4,1,11.2749,1.4623,23.1391,34.4139
3,1,14.5167,-3.0347,2.8986,28.3619
9,2,57.5301,51.6698,34.6622,34.6013
9,3,59.5405,53.1935,36.4672,36.4647
3,2,13.5436,20.0249,-5.1803,-15.1269
3,3,2.6310,16.7048,-12.2308,0.2583
3,4,-4.9484,6.5176,-19.7824,-17.9208
3,5,-27.3841,-1.6669,-28.1409,-24.8418
4,3,-18.0258,-21.5981,4.8244,-3.9251
5,3,-24.9074,-24.0252,-1.5447,-24.8611
9,4,61.6038,55.1750,38.4105,38.3738
9,5,63.7785,57.1823,40.6017,40.5841
9,6,66.0801,58.9295,42.7617,42.6850
9,7,68.6089,61.5355,45.1863,45.1168
9,8,71.3078,64.1258,47.7441,47.7188
9,9,74.1937,66.5930,50.4754,50.4753
9,10,77.3468,69.5613,53.4511,53.4559
9,11,80.7656,72.6484,56.6915,56.7054
9,12,84.5472,75.9309,60.3071,60.2985
9,13,64.2905,79.7268,79.9065,88.7604
10,13,67.6687,67.6770,82.9823,92.3141
11,13,71.2220,71.2272,86.3097,96.0700
12,13,74.9368,74.9744,89.9952,99.9698
8,13,60.1190,60.1629,75.8536,85.0971
7,13,56.7260,56.3667,72.1274,81.2022
6,13,50.3325,52.8826,65.8236,77.4039
5,13,44.5502,45.2411,60.2075,72.6459
4,13,-4.8801,40.4128,33.3567,66.9176
3,13,15.5208,19.6043,19.6380,49.5119
3,12,31.8987,18.2191,-8.0306,2.4605
3,11,25.3763,-5.1254,7.9369,-0.1701
2,11,-7.2719,-7.4840,2.7711,15.7197
1,11,-2.7099,-0.6618,-13.6096,9.9997
1,12,-4.3055,1.2602,-23.0426,-22.2784
1,13,-26.0671,-4.9360,-27.0591,-26.3662
1,10,3.5572,-3.7128,-18.5056,-19.5181
1,9,0.4099,-24.2676,-24.4536,-23.6095
