episode,steps,hit_count,total_reward
1,606,0,257.26
2,618,0,252.36
3,596,0,265.16
4,384,0,391.21
5,726,0,-852.09
6,190,0,513.04
7,726,0,-832.74
8,726,0,-876.74
9,188,0,512.36
10,280,0,459.99
11,502,0,320.90
12,184,0,522.87
13,140,0,536.92
14,248,0,471.79
15,150,0,536.77
16,176,0,517.38
17,280,0,451.79
18,188,0,506.80
19,112,0,55.26
20,296,0,439.62
21,150,0,528.54
22,138,0,540.79
23,156,0,536.44
24,120,0,553.55
25,112,0,558.60
26,184,0,513.70
27,162,0,526.48
28,96,0,565.87
29,134,0,546.58
30,66,0,589.70
31,58,0,594.30
32,128,0,544.33
33,172,0,523.52
34,60,0,593.23
35,56,0,594.33
36,320,0,422.87
37,228,0,-12.83
38,192,0,10.31
39,146,0,536.84
40,52,0,597.28
41,44,0,601.31
42,56,0,592.99
43,138,0,547.25
44,70,0,585.69
45,88,0,578.19
46,118,0,552.61
47,64,0,587.46
48,52,0,596.48
49,70,0,84.35
50,350,0,404.55
51,98,0,568.17
52,104,0,564.25
53,92,0,568.10
54,250,0,464.03
55,62,0,590.32
56,54,0,594.38
57,74,0,84.78
58,62,0,88.74
59,74,0,87.22
60,86,0,575.94
61,72,0,580.06
62,34,0,607.91
63,38,0,605.16
64,52,0,596.14
65,84,0,580.17
66,38,0,605.22
67,56,0,595.67
68,46,0,599.45
69,62,0,592.78
70,56,0,592.70
71,142,0,539.06
72,94,0,569.13
73,242,0,473.81
74,64,0,586.63
75,78,0,579.84
76,66,0,587.10
77,50,0,597.28
78,44,0,600.81
79,60,0,91.21
80,36,0,607.38
81,90,0,76.89
82,126,0,547.97
83,72,0,581.89
84,38,0,606.05
85,68,0,586.60
86,74,0,581.76
87,188,0,509.02
88,52,0,594.97
89,202,0,503.00
90,436,0,346.01
91,134,0,544.44
92,434,0,343.53
93,166,0,519.11
94,140,0,540.73
95,150,0,533.59
96,36,0,606.91
97,44,0,601.99
98,58,0,593.68
99,132,0,542.92
100,118,0,557.47
101,42,0,602.38
102,74,0,585.12
103,550,0,280.10
104,348,0,409.06
105,76,0,581.57
106,52,0,595.59
107,44,0,602.31
108,42,0,602.72
109,32,0,609.33
110,120,0,556.18
111,160,0,520.65
112,74,0,580.07
113,268,0,456.42
114,52,0,595.75
115,236,0,484.59
116,196,0,497.82
117,166,0,519.07
118,170,0,515.70
119,138,0,543.51
120,116,0,59.81
121,72,0,585.35
122,48,0,599.32
123,52,0,596.14
124,40,0,603.86
125,56,0,595.97
126,64,0,590.54
127,56,0,593.51
128,62,0,589.60
129,42,0,604.32
130,48,0,598.59
131,62,0,588.57
132,40,0,603.65
133,36,0,606.61
134,38,0,605.96
135,32,0,609.27
136,50,0,596.82
137,52,0,597.45
138,106,0,558.79
139,40,0,603.47
140,46,0,600.25
141,88,0,571.97
142,142,0,532.07
143,74,0,580.55
144,102,0,561.68
145,80,0,578.73
146,54,0,593.56
147,34,0,608.27
148,40,0,604.12
149,42,0,602.05
150,38,0,605.07
151,130,0,542.98
152,42,0,604.14
153,46,0,100.15
154,50,0,598.53
155,42,0,603.12
156,56,0,592.24
157,38,0,605.60
158,46,0,599.12
159,40,0,603.91
160,108,0,560.42
161,86,0,74.13
162,124,0,552.09
163,102,0,567.54
164,32,0,609.33
165,64,0,590.82
166,50,0,596.36
167,54,0,593.64
168,54,0,595.50
169,50,0,596.63
170,40,0,105.07
171,42,0,602.70
172,48,0,599.59
173,180,0,510.30
174,54,0,595.15
175,68,0,589.17
176,70,0,582.78
177,32,0,609.30
178,54,0,595.80
179,50,0,596.78
180,60,0,592.11
181,48,0,599.82
182,70,0,586.44
183,72,0,586.28
184,318,0,-81.95
185,86,0,573.19
186,52,0,595.94
187,42,0,602.31
188,32,0,609.33
189,36,0,606.58
190,52,0,596.47
191,102,0,564.81
192,42,0,602.35
193,36,0,606.99
194,64,0,589.41
195,82,0,575.92
196,104,0,561.32
197,40,0,103.76
198,46,0,599.71
199,66,0,587.07
200,76,0,583.20
