x,y,Q_up,Q_down,Q_left,Q_right
1,1,16.9313,-3.9987,-4.2614,-3.9731
1,2,17.7268,15.2130,-3.3205,-3.2542
1,3,17.8677,15.6675,-3.1462,-3.0869
1,4,18.0525,15.8027,-2.9370,-2.9315
1,5,18.2974,16.0267,-2.7768,-2.7172
1,6,18.6139,16.5680,-2.3878,-2.3702
1,7,-2.0916,15.7616,-2.2026,18.9915
2,7,-2.0546,-2.0431,16.6556,18.9548
3,7,18.9343,-2.0849,15.7437,-2.1244
3,8,19.3173,16.7383,-1.7138,-1.6871
3,9,-1.2782,17.4497,-1.2563,19.7869
4,9,-1.3224,-1.2672,17.5894,19.7399
5,9,19.7406,-1.3408,16.9188,-1.2760
5,10,20.2669,17.7390,-0.7744,-0.8541
5,11,-0.2410,18.4064,-0.2167,20.9213
6,11,-0.2339,-0.2276,18.5021,20.9069
7,11,-0.2526,20.9022,18.3740,-0.2128
7,10,18.6096,22.3026,1.0994,1.1093
7,9,21.3205,23.9014,2.6418,2.6680
7,8,22.8829,25.6848,4.2977,4.1484
7,7,24.4745,6.2192,27.6418,6.2090
6,7,8.2514,8.1763,29.7646,26.4251
5,7,10.4046,32.0484,10.1878,28.6342
5,6,30.7293,34.2950,12.4988,12.5300
5,5,32.8203,14.8115,14.8199,36.7199
6,5,15.8660,15.7942,33.5930,37.8333
7,5,17.0744,39.0580,34.6784,17.0667
7,4,37.4159,41.8676,19.7519,19.7399
7,3,40.2642,44.8537,22.5657,22.5378
7,2,43.0370,48.0163,25.5794,25.5615
7,1,46.0287,28.7889,45.9833,51.3744
6,1,24.8392,24.9915,38.3198,48.9418
5,1,19.9307,9.7314,28.9269,44.1995
8,1,30.8548,30.8527,48.1364,53.5484
9,1,55.8915,33.0484,49.4753,33.0800
4,1,11.2749,1.4623,23.1391,34.4139
3,1,14.5167,-3.0347,2.8986,28.3619
9,2,57.7391,51.8194,34.8041,34.8022
9,3,59.6955,53.3701,36.6630,36.6676
3,2,13.5436,20.0249,-5.1803,-15.1269
3,3,2.6310,16.7048,-12.2308,0.2583
3,4,-4.9484,6.5176,-19.7824,-17.9208
3,5,-27.3841,-1.6669,-28.1409,-24.8418
4,3,-18.0258,-21.5981,4.8244,-3.9251
5,3,-24.9074,-24.0252,-1.5447,-24.8611
9,4,61.7680,55.4460,38.6470,38.5605
9,5,63.9627,57.4855,40.6746,40.7264
9,6,66.2973,58.9295,42.9453,42.9611
9,7,68.7869,61.5355,45.2721,45.3092
9,8,71.4535,64.2199,47.8329,47.8417
9,9,74.3248,66.7941,50.5865,50.5886
9,10,77.4389,69.6074,53.5456,53.5562
9,11,80.8492,72.7969,56.7867,56.7654
9,12,84.6166,75.9608,60.3884,60.3949
9,13,64.3972,79.7272,80.0326,88.8261
10,13,67.7447,67.7487,83.1632,92.3501
11,13,71.2874,71.2851,86.5242,96.0916
12,13,74.9995,74.9981,90.0523,100.0000
8,13,60.1190,60.1629,75.9354,85.1986
7,13,56.7676,56.3667,72.1274,81.2462
6,13,50.3325,52.8826,65.8236,77.4039
5,13,44.5502,45.2411,60.2075,72.6459
4,13,-4.8801,40.4128,33.3567,66.9176
3,13,15.5208,19.6043,19.6380,49.5119
3,12,31.8987,18.2191,-8.0306,2.4605
3,11,25.3763,-5.1254,7.9369,-0.1701
2,11,-7.2719,-7.4840,2.7711,15.7197
1,11,-2.7099,-0.6618,-13.6096,9.9997
1,12,-4.3055,1.2602,-23.0426,-22.2784
1,13,-26.0671,-4.9360,-27.0591,-26.3662
1,10,3.5572,-3.7128,-18.5056,-19.5181
1,9,0.4099,-24.2676,-24.4536,-23.6095
