x,y,Q_up,Q_down,Q_left,Q_right
1,1,-3.6907,-3.6898,-3.6860,23.6953
2,1,-1.9790,-1.9754,15.7221,25.7586
3,1,-0.7024,-0.7066,17.1861,27.1954
4,1,0.7738,0.7766,18.4977,29.9031
5,1,2.4949,6.4331,20.0753,32.0561
6,1,4.4958,4.4947,21.8717,35.0652
7,1,6.8168,6.8230,23.9874,37.9089
8,1,9.5222,9.5247,26.4362,41.2268
9,1,45.2567,12.6448,29.2585,12.6438
9,2,48.4878,31.4362,15.1717,15.1737
9,3,17.9856,33.9684,52.5284,17.9871
8,3,22.1881,22.1924,57.5460,37.8639
7,3,63.8844,27.0222,27.0219,42.2184
7,4,69.0610,45.8732,33.5231,31.2111
7,5,35.8903,50.0932,35.8897,75.1538
8,5,41.6497,41.6547,55.3319,80.0614
9,5,86.3176,48.2810,61.3255,48.2830
9,6,91.1345,67.0807,54.7779,54.7780
9,7,95.8881,73.5725,61.9879,61.9893
9,8,100.0000,80.7875,70.0000,70.0000
