episode,steps,hit_count,total_reward,epsilon
1,11250,6288,-149340.78,0.9900
2,3014,1661,-39115.52,0.9801
3,1467,789,-17960.12,0.9703
4,2853,1489,-34471.82,0.9606
5,784,430,-9457.82,0.9510
6,1137,603,-13622.12,0.9415
7,1190,622,-14004.77,0.9321
8,1003,503,-11686.77,0.9227
9,1459,765,-17667.57,0.9135
10,823,399,-9118.82,0.9044
11,702,374,-8677.07,0.8953
12,301,165,-3426.72,0.8864
13,453,231,-5053.37,0.8775
14,491,231,-5009.22,0.8687
15,343,163,-3476.47,0.8601
16,602,294,-6483.42,0.8515
17,281,137,-2807.72,0.8429
18,333,153,-3190.52,0.8345
19,235,111,-2240.97,0.8262
20,335,155,-3309.67,0.8179
21,485,223,-5018.92,0.8097
22,189,87,-1698.92,0.8016
23,310,134,-2846.37,0.7936
24,282,126,-2698.62,0.7857
25,283,129,-2637.77,0.7778
26,229,97,-2003.97,0.7700
27,201,81,-1592.02,0.7623
28,200,86,-1706.87,0.7547
29,405,185,-3922.42,0.7472
30,209,93,-1869.52,0.7397
31,198,76,-1470.92,0.7323
32,154,58,-1068.22,0.7250
33,208,86,-1705.67,0.7177
34,207,85,-1724.82,0.7106
35,175,67,-1306.52,0.7034
36,184,96,-1880.12,0.6964
37,151,57,-1066.27,0.6894
38,178,82,-1611.22,0.6826
39,188,74,-1454.37,0.6757
40,147,61,-1151.27,0.6690
41,150,62,-1156.77,0.6623
42,139,57,-1048.77,0.6557
43,119,43,-752.87,0.6491
44,115,39,-683.72,0.6426
45,135,49,-889.57,0.6362
46,170,58,-1104.37,0.6298
47,137,49,-891.87,0.6235
48,115,31,-519.07,0.6173
49,118,50,-891.52,0.6111
50,148,58,-1069.72,0.6050
51,180,72,-1399.32,0.5990
52,133,43,-768.77,0.5930
53,127,45,-804.67,0.5870
54,121,33,-557.12,0.5812
55,100,32,-528.27,0.5754
56,109,37,-629.92,0.5696
57,88,24,-362.32,0.5639
58,102,28,-448.02,0.5583
59,101,29,-466.32,0.5527
60,145,51,-941.02,0.5472
61,105,31,-510.52,0.5417
62,114,32,-537.67,0.5363
63,111,35,-597.72,0.5309
64,105,31,-514.07,0.5256
65,108,28,-451.42,0.5203
66,111,33,-563.37,0.5151
67,118,32,-538.57,0.5100
68,107,27,-433.47,0.5049
69,108,34,-573.22,0.4998
70,110,36,-611.07,0.4948
71,100,32,-526.32,0.4899
72,115,37,-630.07,0.4850
73,110,32,-533.57,0.4801
74,91,25,-386.92,0.4753
75,94,22,-324.22,0.4706
76,92,24,-364.47,0.4659
77,95,27,-423.12,0.4612
78,88,22,-322.72,0.4566
79,98,26,-405.82,0.4520
80,112,32,-536.57,0.4475
81,116,36,-626.52,0.4430
82,97,29,-465.22,0.4386
83,99,21,-305.82,0.4342
84,91,19,-263.97,0.4299
85,93,17,-225.42,0.4256
86,87,19,-262.27,0.4213
87,95,25,-384.47,0.4171
88,103,27,-435.92,0.4129
89,105,29,-469.02,0.4088
90,80,18,-240.72,0.4047
91,89,23,-344.22,0.4007
92,97,29,-466.12,0.3967
93,87,21,-306.62,0.3927
94,74,10,-80.22,0.3888
95,83,19,-260.82,0.3849
96,82,16,-201.22,0.3810
97,81,15,-180.92,0.3772
98,83,13,-142.07,0.3735
99,105,25,-394.12,0.3697
100,90,20,-283.82,0.3660
101,92,20,-284.62,0.3624
102,85,19,-262.12,0.3587
103,89,17,-226.32,0.3552
104,93,25,-384.67,0.3516
105,96,24,-366.97,0.3481
106,75,9,-60.92,0.3446
107,90,22,-322.22,0.3412
108,108,30,-488.52,0.3378
109,89,19,-264.67,0.3344
110,84,16,-203.12,0.3310
111,80,14,-161.57,0.3277
112,90,24,-361.82,0.3244
113,86,14,-168.57,0.3212
114,73,13,-139.12,0.3180
115,88,18,-244.42,0.3148
116,80,16,-200.52,0.3117
117,96,24,-366.67,0.3085
118,98,20,-285.22,0.3055
119,83,17,-222.42,0.3024
120,77,13,-140.82,0.2994
121,95,19,-265.12,0.2964
122,80,14,-162.47,0.2934
123,83,17,-223.82,0.2905
124,100,26,-411.07,0.2876
125,85,19,-264.22,0.2847
126,81,15,-182.42,0.2819
127,77,11,-99.72,0.2790
128,74,8,-40.67,0.2763
129,71,9,-61.10,0.2735
130,67,5,20.78,0.2708
131,79,13,-140.32,0.2680
132,71,5,19.68,0.2654
133,81,15,-183.62,0.2627
134,74,8,-40.02,0.2601
135,79,11,-102.57,0.2575
136,72,10,-79.82,0.2549
137,76,12,-120.82,0.2524
138,74,10,-79.62,0.2498
139,69,9,-59.42,0.2473
140,77,11,-100.92,0.2449
141,69,9,-59.72,0.2424
142,71,7,-19.32,0.2400
143,69,7,-18.92,0.2376
144,71,11,-99.12,0.2352
145,81,17,-220.52,0.2329
146,75,7,-20.72,0.2305
147,73,9,-60.22,0.2282
148,73,7,-20.97,0.2259
149,75,9,-62.72,0.2237
150,70,8,-39.82,0.2215
151,67,7,-19.12,0.2192
152,76,12,-120.22,0.2170
153,75,13,-141.02,0.2149
154,71,9,-59.82,0.2127
155,66,4,40.78,0.2106
156,74,8,-39.72,0.2085
157,65,5,21.18,0.2064
158,80,20,-280.92,0.2043
159,71,11,-99.42,0.2023
160,77,7,-21.22,0.2003
161,76,12,-121.47,0.1983
162,62,2,81.18,0.1963
163,70,4,39.38,0.1943
164,71,7,-19.92,0.1924
165,65,5,21.18,0.1905
166,75,13,-139.22,0.1886
167,62,2,81.18,0.1867
168,64,4,41.18,0.1848
169,69,9,-58.82,0.1830
170,76,12,-120.52,0.1811
171,64,4,41.18,0.1793
172,69,9,-58.82,0.1775
173,69,9,-59.12,0.1757
174,80,10,-80.82,0.1740
175,69,9,-59.12,0.1722
176,66,6,1.18,0.1705
177,74,10,-80.52,0.1688
178,70,8,-39.82,0.1671
179,65,5,21.18,0.1655
180,65,5,21.18,0.1638
181,71,7,-19.62,0.1622
182,67,7,-18.82,0.1605
183,65,5,21.18,0.1589
184,73,11,-99.82,0.1574
185,63,3,61.18,0.1558
186,85,7,-24.67,0.1542
187,69,5,20.38,0.1527
188,72,8,-39.92,0.1512
189,69,9,-59.42,0.1496
190,72,8,-41.17,0.1481
191,67,5,20.48,0.1467
192,66,4,40.48,0.1452
193,65,5,20.88,0.1437
194,69,5,20.38,0.1423
195,64,4,41.18,0.1409
196,64,4,41.18,0.1402
197,66,4,40.78,0.1395
198,823,67,-2336.17,0.1388
199,523,39,-1466.47,0.1381
200,295,17,-629.92,0.1374
201,260,18,-632.67,0.1367
202,145,9,-181.37,0.1360
203,96,8,-64.57,0.1354
204,108,6,-74.47,0.1347
205,108,8,-129.27,0.1340
206,70,2,78.88,0.1333
207,92,6,-32.12,0.1327
208,84,8,-54.32,0.1320
209,68,4,40.08,0.1314
210,69,5,19.68,0.1307
211,64,4,41.18,0.1300
212,67,7,-18.82,0.1294
213,65,5,21.18,0.1287
