x,y,Q_up,Q_down,Q_left,Q_right
1,1,-15.1033,-15.4539,-10.0364,1.6362
2,1,-16.4002,-15.9774,-0.1337,2.0365
3,1,1.8913,-16.7416,0.1706,-17.6301
3,2,1.0058,-0.0623,-12.2275,-16.4410
3,3,0.3425,-0.6677,-17.4539,-14.0796
3,4,-0.0703,-1.6428,-12.4625,-16.7543
3,5,-18.5122,-2.0125,-0.4426,-19.1018
2,5,-14.6847,-15.5028,0.4439,-0.3759
1,5,1.0552,-0.0050,-11.7520,1.3345
1,4,1.6175,1.2734,-11.3828,-9.2850
1,3,1.6246,-14.4736,-16.2189,-14.0539
1,6,1.0352,0.3339,-13.2438,-15.9428
1,7,1.2075,0.2845,-16.5763,-14.3331
1,8,1.3306,-0.1344,-15.2279,-14.2440
1,9,1.5805,0.3739,-16.6896,-9.7139
1,10,1.6322,0.4359,-14.5354,-18.0361
1,11,-14.6232,0.5183,-13.1217,1.4689
2,11,-12.7611,-15.2774,-0.4434,1.3286
3,11,0.8061,-10.8291,-0.6222,-16.0852
3,12,0.6032,-1.2411,-13.3562,-15.8609
3,13,-9.0170,-0.2997,0.1300,1.3396
4,13,-16.4847,-14.1609,-0.7974,0.9445
5,13,-17.5511,0.3661,-1.3047,-8.3457
2,13,-9.6784,-7.8219,-1.5492,1.0957
1,13,-23.9412,-15.0058,-11.1029,0.5989
5,12,-0.0380,0.5207,-11.0464,-16.9036
5,11,-0.2907,-16.0748,-12.7490,1.7931
6,11,-17.8473,-15.4505,-1.1167,1.5345
7,11,0.6957,-17.0652,-1.3354,-15.0265
7,12,0.5323,-1.1843,-14.4785,-16.6992
7,13,-17.3762,-0.8395,-12.9699,0.9302
8,13,-16.7783,-13.2065,-1.4656,0.5119
9,13,-13.8468,-0.5361,-1.5799,-15.4462
9,12,-1.3308,-0.0108,-16.0579,-18.3246
9,11,-0.6071,0.8410,-7.9615,-17.7707
9,10,-0.1517,1.8487,-11.8699,-13.0953
9,9,1.6587,-8.2275,3.1528,-14.1567
8,9,-10.5271,-10.7466,4.3664,2.4350
7,9,-9.1843,5.9904,-10.5561,4.2683
7,8,5.1107,7.2131,-4.9628,-10.8352
7,7,6.0160,8.7600,-3.1627,-4.2496
7,6,8.9958,10.8544,-0.0345,0.2823
7,5,10.9185,6.6074,-1.0331,13.0848
8,5,1.0996,-4.4967,10.7803,14.4167
9,5,15.5131,-3.9075,12.7334,0.8664
9,6,16.6345,13.2501,12.6235,4.0132
9,7,2.9750,14.2930,-1.5595,17.9687
10,7,18.4216,1.8316,15.7019,19.5191
11,7,1.0814,21.1782,17.0835,1.4829
11,6,20.9217,24.9733,6.0104,7.2299
11,5,24.4597,16.6643,23.1117,28.9121
12,5,9.9207,12.4019,25.5118,32.0757
13,5,35.9620,29.9787,29.2963,14.5452
13,6,38.8177,32.1723,23.1569,23.6517
13,7,42.0060,34.7027,17.3972,32.4472
13,8,45.7549,38.6716,23.5031,24.2284
13,4,30.1079,27.5927,35.8438,30.5480
13,3,31.0996,34.0670,32.6411,23.7490
13,2,32.0035,42.8475,24.5530,25.7088
13,1,47.5650,22.3632,37.8795,21.1395
12,1,14.3192,18.7136,35.6761,42.0223
11,1,23.0002,1.8141,13.2588,39.0445
11,2,-10.7578,30.0015,-1.7273,-27.9973
11,3,-33.7080,-9.9825,-15.8451,-36.0482
10,3,-33.3794,-33.9471,-17.4266,-12.1041
9,3,-36.7306,-36.1232,-17.3237,-14.5734
8,3,-36.0951,-35.8597,-18.2974,-14.9136
7,3,-38.0993,-37.2809,-19.2211,-16.4723
6,3,-38.6753,-37.8456,-20.8815,-18.0102
5,3,-20.3066,-22.0947,-39.3802,-19.3006
5,2,-19.0345,-19.8223,-38.9714,-38.8568
5,1,-19.8264,-38.7211,-39.2810,-18.6094
6,1,-38.3735,-38.5237,-20.0673,-18.6707
7,1,-38.7551,-40.0413,-19.2470,-19.3322
5,4,-22.7705,-21.2267,-42.2487,-41.3221
5,5,-23.5359,-22.9766,-42.2861,-42.0547
5,6,-24.5616,-23.8187,-44.4003,-42.9923
5,7,-24.7966,-24.5145,-43.9105,-43.1417
5,8,-27.3581,-25.8942,-45.2320,-44.6344
5,9,-47.7572,-27.1038,-28.7676,-48.4388
4,9,-45.5734,-44.9587,-26.6134,-25.9546
3,9,-47.9261,-27.7757,-47.8106,-24.7751
3,8,-25.9030,-29.1713,-49.2357,-46.4517
3,7,-27.9942,-47.9513,-48.4871,-56.5308
8,1,-39.5571,-40.7533,-20.6144,-19.9662
9,1,-40.8494,-41.7207,-21.1071,-40.5034
13,9,30.8409,39.5015,49.8494,39.7060
12,9,30.7490,32.9188,55.5436,45.3987
11,9,62.2233,36.9946,43.3670,52.5511
11,10,68.1547,56.4218,41.7925,42.3948
11,11,74.7601,64.5618,49.0420,49.3310
11,12,82.3149,76.7550,56.0176,56.0715
11,13,63.4061,79.8879,63.2830,91.1000
12,13,70.1900,73.2293,90.0291,100.0000
