x,y,Q_up,Q_down,Q_left,Q_right
1,1,-11.4346,-11.2330,-11.3739,9.2831
2,1,-10.8787,-10.8852,7.7875,9.6632
3,1,-11.1511,-11.2888,7.5637,9.3665
4,1,-11.4137,-11.3891,7.4967,9.1226
5,1,-11.6611,-11.8640,6.9451,8.8921
6,1,-11.9028,-11.7856,6.7523,8.7000
7,1,-12.0281,-11.9334,7.2750,8.5571
8,1,-12.1384,-12.0592,7.3438,8.4654
9,1,-12.2359,-12.1644,7.1761,8.4379
10,1,-12.0453,-12.2691,5.6217,8.4838
11,1,-12.0519,-11.8662,7.4769,8.6127
12,1,-11.6835,-11.7448,7.6698,8.8337
13,1,9.1516,-11.4059,7.7071,-11.4164
13,2,8.4773,7.1083,-12.0222,-11.9778
13,3,-12.6892,5.5449,7.7684,-12.6766
12,3,-12.3421,-12.3172,8.1272,6.5790
11,3,-11.9968,-11.9817,8.6098,7.0603
10,3,-11.2751,-11.3337,9.2162,7.7549
9,3,9.9286,-10.5933,-10.6020,8.7405
9,4,9.4066,6.4525,-11.1036,-11.2629
9,5,-11.6477,7.0572,-11.8580,8.8495
10,5,-11.7289,-11.7208,7.7080,8.7916
11,5,8.8384,-11.6483,7.6030,-11.7252
11,6,8.1851,6.3959,-12.2602,-12.3507
11,7,-12.8933,5.8777,7.5012,-12.9521
10,7,-12.2924,-12.3466,8.1859,7.1736
9,7,9.0330,-11.5302,-11.7311,7.4771
9,8,8.5510,7.1785,-11.9640,-12.0512
9,9,8.1074,6.5331,-12.4122,-12.3811
9,10,7.7350,6.3095,-12.7134,-12.6753
9,11,-13.0096,5.7903,7.4830,-12.9467
8,11,-11.7143,-11.7278,8.7391,7.3683
7,11,-10.4484,-10.5813,10.0926,8.9676
6,11,-9.0858,-9.1463,11.5254,9.3158
5,11,-7.6658,-7.6376,13.0448,11.2228
4,11,-6.1192,-6.0977,14.6524,12.9769
3,11,-4.5096,16.3504,-4.5069,14.4191
3,10,15.0985,17.3613,-3.5300,-3.5250
3,9,15.7400,-2.4481,-2.4804,18.5172
4,9,-2.5395,-2.5317,15.3087,18.4132
5,9,-2.6235,-2.6250,16.1691,18.3206
6,9,-2.6889,-2.7375,15.8846,18.2480
7,9,-2.7507,18.2053,16.0381,-2.8587
7,8,17.4705,19.6943,-1.3032,-1.2924
7,7,19.0859,21.3442,0.2570,0.2545
7,6,20.6229,23.1425,1.9366,1.9728
7,5,22.1008,3.7363,25.0788,3.7987
6,5,5.5701,5.6005,26.9581,23.9146
5,5,7.5372,28.9947,7.5236,25.6842
5,4,27.7752,31.1842,9.5748,9.5457
5,3,29.5471,11.8364,33.5273,29.9524
4,3,13.9278,14.0639,35.8689,31.9965
6,3,7.9701,7.4104,30.9996,25.7698
7,3,-0.1465,-7.7530,27.5564,4.0981
3,3,38.3747,16.4329,16.4489,34.1169
3,4,39.5620,34.9891,17.5740,17.5254
3,5,18.7960,36.4014,40.8548,18.8097
2,5,21.5402,21.5473,43.7417,38.6444
1,5,46.8144,42.0147,24.4581,42.0301
1,6,48.6387,43.2674,26.1695,26.1405
1,7,50.6035,44.5414,27.9670,45.5778
1,8,52.7228,47.3590,30.0605,30.0705
1,9,55.0127,49.3078,32.2403,32.2423
1,10,57.4854,51.6524,34.5738,34.6014
1,11,60.2254,53.9224,37.2020,37.2028
2,7,21.9435,21.9054,46.9571,40.6054
1,4,44.7986,39.6944,22.1209,21.7611
1,3,42.7617,15.5016,17.3940,11.5849
3,7,15.5076,16.7128,42.7592,30.5598
4,7,8.2848,10.3313,33.3646,25.8743
5,7,4.1945,3.7966,29.0437,4.9965
1,12,63.1821,56.7019,40.0086,39.9803
1,13,42.9821,59.6411,42.9902,66.3622
2,13,45.2566,45.2583,61.8155,68.6990
3,13,47.5841,47.5847,63.8176,71.1579
4,13,50.0417,50.0108,65.3791,73.7458
5,13,52.6175,52.6413,68.7252,76.4699
6,13,55.3623,55.3345,71.3415,79.3371
7,13,58.2159,58.2317,74.1329,82.3549
8,13,61.2518,61.2427,76.7715,85.5315
9,13,64.4280,64.4305,79.9964,88.8752
10,13,67.7736,67.7317,83.0555,92.3950
11,13,71.2701,71.2925,86.3804,96.1000
12,13,74.9990,74.9985,90.0477,100.0000
