episode,steps,hit_count,total_reward,epsilon
1,1981,1127,-22587.17,0.9950
2,1133,657,-13114.57,0.9900
3,1462,768,-15377.87,0.9851
4,280,170,-3302.87,0.9801
5,236,132,-2541.37,0.9752
6,375,195,-3815.67,0.9704
7,336,204,-3986.07,0.9655
8,255,143,-2762.97,0.9607
9,708,382,-7586.07,0.9559
10,316,160,-3110.57,0.9511
11,823,449,-8935.07,0.9464
12,310,166,-3228.77,0.9416
13,204,106,-2021.07,0.9369
14,293,147,-2850.67,0.9322
15,143,73,-1354.27,0.9276
16,117,57,-1032.57,0.9229
17,181,79,-1480.67,0.9183
18,293,139,-2690.17,0.9137
19,180,84,-1579.77,0.9092
20,150,68,-1256.97,0.9046
21,265,141,-2725.67,0.9001
22,221,99,-1884.97,0.8956
23,116,56,-1013.47,0.8911
24,141,75,-1394.07,0.8867
25,185,87,-1640.47,0.8822
26,258,128,-2465.67,0.8778
27,330,176,-3431.37,0.8734
28,193,87,-1642.07,0.8691
29,171,67,-1241.07,0.8647
30,124,62,-1133.87,0.8604
31,49,13,-148.67,0.8561
32,98,42,-732.67,0.8518
33,126,58,-1055.07,0.8475
34,132,66,-1213.77,0.8433
35,105,49,-871.47,0.8391
36,210,98,-1862.37,0.8349
37,294,142,-2751.57,0.8307
38,245,107,-2048.47,0.8266
39,139,63,-1156.37,0.8224
40,169,85,-1597.97,0.8183
41,127,55,-995.27,0.8142
42,155,67,-1237.57,0.8102
43,110,54,-972.67,0.8061
44,59,17,-229.87,0.8021
45,97,41,-712.67,0.7981
46,84,30,-492.57,0.7941
47,56,20,-288.97,0.7901
48,98,40,-692.77,0.7862
49,58,24,-368.57,0.7822
50,61,21,-310.07,0.7783
51,90,34,-571.47,0.7744
52,161,71,-1319.17,0.7705
53,127,47,-837.17,0.7667
54,136,64,-1174.97,0.7629
55,63,25,-389.67,0.7590
56,102,40,-693.87,0.7553
57,153,65,-1198.17,0.7515
58,86,36,-610.87,0.7477
59,89,35,-591.97,0.7440
60,92,30,-493.27,0.7403
61,99,41,-712.77,0.7366
62,79,35,-590.27,0.7329
63,74,30,-490.27,0.7292
64,77,35,-589.87,0.7256
65,97,41,-712.37,0.7219
66,69,25,-390.57,0.7183
67,165,67,-1240.17,0.7147
68,77,35,-590.17,0.7112
69,96,38,-652.77,0.7076
70,65,19,-270.37,0.7041
71,94,36,-612.77,0.7005
72,60,16,-209.97,0.6970
73,74,26,-410.77,0.6936
74,74,22,-331.57,0.6901
75,59,21,-308.77,0.6866
76,49,15,-188.57,0.6832
77,77,31,-510.67,0.6798
78,73,27,-430.37,0.6764
79,60,20,-290.07,0.6730
80,62,24,-369.37,0.6696
81,58,16,-209.57,0.6663
82,47,15,-188.17,0.6630
83,65,25,-389.77,0.6597
84,74,24,-371.47,0.6564
85,64,24,-369.77,0.6531
86,84,30,-492.57,0.6498
87,63,25,-389.37,0.6466
88,62,20,-290.47,0.6433
89,74,22,-330.97,0.6401
90,51,13,-149.37,0.6369
91,61,27,-428.87,0.6337
92,49,13,-148.97,0.6306
93,80,28,-451.87,0.6274
94,78,28,-450.87,0.6243
95,73,31,-509.57,0.6211
96,63,23,-349.77,0.6180
97,83,31,-511.57,0.6149
98,45,13,-148.47,0.6119
99,79,33,-550.67,0.6088
100,57,25,-388.17,0.6058
101,61,21,-309.77,0.6027
102,52,20,-288.17,0.5997
103,74,20,-292.27,0.5967
104,49,13,-148.67,0.5937
105,65,21,-309.97,0.5908
106,76,32,-530.87,0.5878
107,51,15,-189.27,0.5849
108,60,22,-329.67,0.5820
109,54,20,-288.87,0.5790
110,51,11,-109.77,0.5762
111,53,15,-189.67,0.5733
112,54,20,-288.57,0.5704
113,47,15,-188.17,0.5676
114,64,20,-289.97,0.5647
115,68,26,-410.47,0.5619
116,51,17,-228.87,0.5591
117,51,15,-188.97,0.5563
118,54,18,-248.67,0.5535
119,67,29,-469.07,0.5507
120,47,13,-148.87,0.5480
121,48,14,-168.87,0.5452
122,58,18,-249.77,0.5425
123,43,11,-108.47,0.5398
124,60,18,-250.47,0.5371
125,56,14,-169.87,0.5344
126,67,23,-350.27,0.5318
127,55,17,-229.37,0.5291
128,37,9,-67.67,0.5264
129,55,21,-308.27,0.5238
130,58,18,-249.47,0.5212
131,40,12,-127.67,0.5186
132,53,13,-149.47,0.5160
133,51,15,-188.97,0.5134
134,50,14,-168.97,0.5108
135,55,13,-150.47,0.5083
136,82,28,-452.27,0.5058
137,55,19,-269.27,0.5032
138,42,10,-87.87,0.5007
139,36,8,-47.67,0.4982
140,54,12,-130.17,0.4957
141,73,21,-311.57,0.4932
142,68,24,-370.57,0.4908
143,46,12,-128.57,0.4883
144,49,11,-109.67,0.4859
145,58,18,-249.47,0.4834
146,38,8,-48.07,0.4810
147,64,24,-370.07,0.4786
148,50,10,-89.77,0.4762
149,52,12,-129.47,0.4738
150,39,9,-68.07,0.4715
151,59,19,-269.47,0.4691
152,59,15,-190.27,0.4668
153,39,9,-67.77,0.4644
154,56,16,-209.77,0.4621
155,45,15,-188.07,0.4598
156,51,15,-189.27,0.4575
157,45,9,-69.27,0.4552
158,55,17,-229.07,0.4529
159,47,15,-188.17,0.4507
160,42,6,-9.27,0.4484
161,45,11,-108.57,0.4462
162,52,12,-129.77,0.4440
163,49,11,-109.07,0.4417
164,32,4,32.33,0.4395
165,40,10,-87.77,0.4373
166,43,9,-68.57,0.4351
167,46,12,-128.57,0.4330
168,50,14,-168.97,0.4308
169,54,16,-208.47,0.4286
170,64,20,-290.27,0.4265
171,47,11,-109.27,0.4244
172,54,16,-209.07,0.4223
173,37,5,11.83,0.4201
174,46,10,-89.27,0.4180
175,45,9,-68.97,0.4159
176,35,7,-27.67,0.4139
177,57,13,-150.57,0.4118
178,40,10,-88.07,0.4097
179,48,12,-128.37,0.4077
180,37,7,-28.07,0.4057
181,58,16,-209.87,0.4036
182,42,8,-48.57,0.4016
183,43,11,-108.47,0.3996
184,36,4,31.83,0.3976
185,42,8,-48.87,0.3956
186,54,14,-169.77,0.3936
187,51,13,-149.67,0.3917
188,56,10,-90.67,0.3897
189,43,11,-108.17,0.3878
190,45,13,-148.17,0.3858
191,41,11,-107.77,0.3839
192,40,8,-48.17,0.3820
193,34,6,-7.67,0.3801
194,38,6,-8.17,0.3782
195,36,6,-8.07,0.3763
196,38,10,-87.67,0.3744
197,41,7,-28.87,0.3725
198,35,7,-27.67,0.3707
199,36,6,-7.77,0.3688
200,37,9,-67.67,0.3670
201,37,5,11.53,0.3651
202,45,9,-68.97,0.3633
203,43,9,-68.57,0.3615
204,43,13,-148.07,0.3597
205,35,5,12.23,0.3579
206,37,7,-28.07,0.3561
207,49,15,-188.27,0.3543
208,40,10,-88.07,0.3525
209,37,5,11.53,0.3508
210,37,5,11.53,0.3490
211,33,5,12.33,0.3473
212,37,5,11.83,0.3455
213,40,8,-47.87,0.3438
214,33,3,51.93,0.3421
215,37,9,-67.67,0.3404
216,36,8,-47.67,0.3387
217,32,4,32.33,0.3370
218,42,8,-48.57,0.3353
219,35,5,11.93,0.3336
220,33,5,12.33,0.3320
221,38,8,-48.07,0.3303
222,38,6,-8.47,0.3286
223,34,6,-7.67,0.3270
224,36,8,-47.67,0.3254
225,38,10,-87.67,0.3237
226,41,7,-28.57,0.3221
227,38,6,-8.17,0.3205
228,36,6,-8.07,0.3189
229,46,6,-9.77,0.3173
230,39,5,11.43,0.3157
231,51,11,-109.77,0.3141
232,34,4,31.93,0.3126
233,36,6,-7.77,0.3110
