x,y,Q_up,Q_down,Q_left,Q_right
1,1,20.0319,-1.2113,-1.2127,-1.1419
1,2,20.9798,17.8656,-0.3275,-0.3422
1,3,21.2198,18.6753,0.0342,0.0292
1,4,21.6701,18.5366,0.4539,0.4253
1,5,0.8364,19.4582,0.8511,22.1535
2,5,1.1017,1.1397,19.5703,22.4051
3,5,1.4466,22.6504,18.5525,1.3855
3,4,21.5286,24.4661,3.1263,3.1336
3,3,23.4164,26.3993,4.7683,4.9109
3,2,25.2643,28.4787,6.8941,6.8984
3,1,27.3858,8.9937,9.0829,30.6993
4,1,9.9206,9.9086,27.6906,31.6367
5,1,10.8783,10.7500,29.0300,32.6014
6,1,11.8048,11.8768,29.3171,33.6737
7,1,12.8495,12.9767,30.8760,34.9415
8,1,14.2281,14.3100,31.9334,36.2355
9,1,15.6459,15.7283,32.7532,37.5598
10,1,17.1131,17.2418,34.9106,39.2605
11,1,18.8735,18.9450,36.6953,41.0932
12,1,20.8117,20.8042,36.6283,43.0384
13,1,45.1723,22.8672,40.2897,22.7141
13,2,46.3990,41.2207,23.9911,24.0157
13,3,25.2633,42.2966,47.7067,25.2419
12,3,27.6337,27.6207,50.2039,44.8725
11,3,30.2429,29.9592,52.9483,47.3631
10,3,33.0687,32.9852,55.9192,50.0855
9,3,59.1160,36.0365,36.0802,52.2200
9,4,61.1727,54.6771,38.0382,38.0575
9,5,40.0611,55.6731,40.1156,63.3670
10,5,42.8060,42.8068,59.3398,66.1646
11,5,45.6861,45.7252,62.1846,69.2685
12,5,48.9353,48.8923,65.1223,72.5953
13,5,76.2788,52.2252,68.6305,52.4481
13,6,79.1678,71.1219,55.1714,55.1085
13,7,82.2037,73.8448,58.0475,58.0805
13,8,85.3907,76.7348,61.0896,61.1014
13,9,88.8263,79.7962,64.3244,64.2947
13,10,92.3516,82.9987,67.6788,67.6573
13,11,96.0977,86.3979,71.2511,71.2548
13,12,99.9997,89.8619,74.9828,74.9608
