episode,steps,hit_count,total_reward
1,654,0,236.69
2,628,0,243.17
3,464,0,345.85
4,218,0,494.07
5,172,0,525.17
6,130,0,546.82
7,134,0,543.61
8,68,0,584.88
9,64,0,587.88
10,96,0,565.91
11,82,0,576.37
12,106,0,562.23
13,70,0,583.18
14,44,0,602.26
15,32,0,609.63
16,84,0,572.24
17,38,0,605.19
18,188,0,501.86
19,152,0,522.52
20,298,0,417.07
21,172,0,8.59
22,44,0,601.40
23,130,0,543.85
24,90,0,568.00
25,60,0,590.88
26,46,0,599.57
27,92,0,570.10
28,46,0,600.39
29,58,0,590.16
30,126,0,542.30
31,60,0,591.10
32,134,0,537.28
33,78,0,576.26
34,60,0,589.54
35,72,0,581.46
36,54,0,594.25
37,48,0,597.87
38,52,0,595.68
39,56,0,593.57
40,84,0,573.32
41,56,0,592.17
42,44,0,601.19
43,64,0,585.56
44,58,0,590.35
45,56,0,594.56
46,40,0,604.10
47,44,0,600.69
48,114,0,553.59
49,34,0,607.97
50,40,0,603.89
51,40,0,604.68
52,46,0,600.50
53,38,0,605.19
54,34,0,608.30
55,32,0,609.33
56,40,0,603.91
57,104,0,560.05
58,62,0,587.49
59,124,0,545.07
60,108,0,555.08
61,34,0,607.91
62,50,0,596.81
63,66,0,586.22
64,62,0,589.25
65,32,0,609.33
66,36,0,606.58
67,64,0,589.16
68,44,0,601.74
69,42,0,603.32
70,42,0,602.08
71,34,0,607.97
72,102,0,559.79
73,50,0,596.97
74,142,0,529.76
75,210,0,481.10
76,104,0,558.03
77,232,0,-34.59
78,54,0,593.65
79,96,0,562.94
80,66,0,584.79
81,60,0,590.21
82,60,0,589.69
83,56,0,593.37
84,62,0,589.80
85,46,0,600.92
86,32,0,609.33
87,44,0,601.82
88,32,0,609.30
89,36,0,606.58
90,42,0,603.05
91,62,0,591.08
92,64,0,590.32
93,44,0,601.48
94,56,0,592.04
95,88,0,573.00
96,56,0,594.87
97,40,0,603.77
98,40,0,603.79
99,44,0,601.25
100,42,0,602.93
101,34,0,607.97
102,52,0,594.87
103,50,0,596.57
104,52,0,595.17
105,30,0,610.69
106,104,0,558.50
107,174,0,509.64
108,52,0,595.62
109,62,0,587.47
110,78,0,579.71
111,92,0,568.67
112,40,0,604.59
113,42,0,602.44
114,74,0,580.02
115,48,0,598.15
116,34,0,608.18
117,162,0,524.32
118,108,0,558.99
119,52,0,596.93
120,100,0,565.26
121,58,0,591.66
122,62,0,589.36
123,108,0,556.68
124,138,0,534.21
125,60,0,90.16
126,44,0,602.30
127,72,0,584.62
128,36,0,606.99
129,54,0,592.65
130,76,0,579.45
131,32,0,609.30
132,42,0,602.40
133,44,0,601.02
134,44,0,601.08
135,68,0,583.92
136,42,0,602.93
137,36,0,606.34
138,38,0,605.89
139,42,0,602.61
140,42,0,602.52
141,40,0,604.16
142,42,0,602.74
143,80,0,577.62
144,48,0,599.74
145,48,0,598.14
146,30,0,610.69
147,38,0,605.51
148,90,0,568.49
149,50,0,598.08
150,62,0,590.15
151,44,0,600.93
152,40,0,605.07
153,52,0,595.77
154,50,0,596.82
155,34,0,607.94
156,64,0,589.48
157,48,0,598.86
158,40,0,603.71
159,70,0,583.06
160,264,0,462.41
161,98,0,566.97
162,352,0,392.85
163,56,0,595.20
164,68,0,586.17
165,104,0,562.36
166,78,0,579.61
167,76,0,579.18
168,108,0,560.38
169,64,0,589.79
170,96,0,566.81
171,40,0,604.16
172,90,0,572.19
173,68,0,583.71
174,110,0,556.55
175,98,0,566.78
176,62,0,592.37
177,30,0,610.69
178,46,0,600.18
179,30,0,610.69
180,38,0,605.63
181,68,0,584.08
182,40,0,603.88
183,36,0,606.37
184,50,0,597.36
185,98,0,566.09
186,58,0,592.82
187,52,0,595.16
188,54,0,595.60
189,64,0,587.25
190,52,0,597.80
191,32,0,609.33
192,102,0,563.43
193,60,0,591.46
194,44,0,601.08
195,62,0,590.17
196,76,0,581.94
197,40,0,603.83
198,38,0,605.22
199,60,0,589.97
200,32,0,609.33
201,32,0,609.33
202,94,0,567.04
203,34,0,607.97
204,82,0,574.38
205,112,0,51.82
206,40,0,604.10
207,190,0,500.64
208,52,0,595.99
209,78,0,577.61
210,154,0,526.68
211,72,0,584.23
212,68,0,587.47
213,202,0,498.52
214,62,0,589.79
215,188,0,505.25
216,86,0,573.77
217,58,0,591.45
218,54,0,596.29
219,74,0,582.42
220,74,0,582.80
221,98,0,565.30
222,34,0,608.27
223,54,0,94.77
224,44,0,600.66
225,30,0,110.69
226,54,0,595.61
227,34,0,607.91
228,50,0,598.79
229,34,0,607.91
230,30,0,610.69
231,38,0,605.13
232,42,0,602.62
233,62,0,591.40
234,42,0,602.41
235,60,0,591.24
236,42,0,602.44
237,80,0,578.03
238,58,0,591.11
239,38,0,605.43
240,38,0,605.13
241,40,0,104.04
242,42,0,604.18
243,34,0,609.24
244,28,0,612.05
245,60,0,590.00
246,58,0,592.02
247,44,0,601.57
248,38,0,605.07
249,56,0,592.21
250,110,0,555.77
251,46,0,599.56
252,38,0,604.95
253,54,0,595.07
254,40,0,604.38
255,50,0,96.48
256,50,0,598.41
257,36,0,606.88
258,46,0,599.74
259,32,0,609.33
260,36,0,606.55
261,72,0,583.12
262,62,0,88.26
263,50,0,596.85
264,44,0,601.78
265,38,0,605.27
266,44,0,601.37
267,36,0,606.58
268,32,0,109.30
269,36,0,606.61
270,36,0,606.43
271,40,0,604.42
272,32,0,609.33
273,52,0,594.65
274,50,0,597.76
275,38,0,105.46
276,42,0,602.55
277,28,0,612.05
278,32,0,609.66
279,36,0,607.37
280,50,0,95.94
281,30,0,610.69
282,36,0,606.58
283,30,0,110.69
284,34,0,607.85
285,32,0,609.33
286,48,0,599.15
287,46,0,599.59
288,28,0,612.05
289,30,0,610.69
290,28,0,612.05
291,28,0,612.05
292,44,0,601.25
293,36,0,606.76
294,34,0,607.97
295,112,0,550.15
296,54,0,596.67
297,54,0,594.09
298,42,0,602.61
299,40,0,603.77
300,34,0,607.85
301,36,0,606.99
302,56,0,593.03
303,60,0,591.64
304,42,0,602.76
305,44,0,601.37
306,38,0,605.48
307,34,0,107.91
308,32,0,609.30
309,32,0,609.33
