x,y,Q_up,Q_down,Q_left,Q_right
1,1,9.3301,-11.6082,-11.6073,-11.6074
1,2,10.2561,7.7756,-10.7732,-10.7806
1,3,10.5844,8.3947,-10.4770,-10.4770
1,4,11.0202,8.6535,-10.0864,-10.0852
1,5,-9.5732,9.2035,-9.5739,11.5891
2,5,-9.3925,-9.3933,9.3208,11.7857
3,5,-9.1677,12.0386,9.5375,-9.1635
3,4,11.2072,13.9305,-7.4595,-7.4629
3,3,12.9981,16.1155,-5.4940,-5.4947
3,2,15.0386,18.6139,-3.2460,-3.2461
3,1,17.3260,-0.7023,-0.7092,21.4481
4,1,0.7796,0.7800,18.5287,23.0946
5,1,2.5007,2.5030,20.0762,25.0061
6,1,4.5022,4.4993,21.8623,27.2308
7,1,6.8294,6.8313,23.9940,29.8172
8,1,9.5258,9.5277,26.3928,32.8144
9,1,36.2777,12.6490,29.2450,12.6458
9,2,39.0876,31.4466,15.1762,15.1809
9,3,17.9908,33.9789,42.2225,17.9890
8,3,22.1980,22.1987,46.8949,37.8722
7,3,52.2630,27.0318,27.0303,42.2276
7,4,56.9151,45.8758,31.2213,31.2208
7,5,35.8989,50.1000,35.9002,62.1134
8,5,41.6626,41.6617,55.3437,68.5160
9,5,75.8810,48.2923,61.3235,48.2923
9,6,83.0900,67.0772,54.7807,54.7806
9,7,91.1000,73.5781,61.9896,61.9898
9,8,100.0000,80.7871,70.0000,70.0000
