episode,steps,hit_count,total_reward,epsilon
1,2124,1178,-26941.22,0.9900
2,1120,614,-13822.12,0.9801
3,3345,1881,-43151.32,0.9703
4,2057,1151,-26842.12,0.9606
5,589,295,-6541.32,0.9510
6,813,417,-9484.92,0.9415
7,1010,524,-12168.62,0.9321
8,1374,704,-15779.42,0.9227
9,1566,766,-17117.02,0.9135
10,881,451,-10332.12,0.9044
11,619,291,-6337.22,0.8953
12,1408,702,-16233.42,0.8864
13,1008,510,-11572.72,0.8775
14,486,246,-5420.92,0.8687
15,433,201,-4314.52,0.8601
16,2019,1013,-23548.12,0.8515
17,518,248,-5558.02,0.8429
18,521,239,-5323.02,0.8345
19,224,106,-2189.32,0.8262
20,732,332,-7588.52,0.8179
21,311,143,-3162.32,0.8097
22,226,100,-2050.22,0.8016
23,235,91,-1854.42,0.7936
24,385,177,-3889.92,0.7857
25,270,120,-2523.62,0.7778
26,211,97,-1987.52,0.7700
27,210,84,-1717.62,0.7623
28,170,66,-1264.02,0.7547
29,174,70,-1384.92,0.7472
30,152,58,-1129.42,0.7397
31,317,133,-2872.32,0.7323
32,188,88,-1776.22,0.7250
33,146,48,-891.92,0.7177
34,172,70,-1393.22,0.7106
35,124,44,-798.62,0.7034
36,220,82,-1637.22,0.6964
37,178,66,-1283.82,0.6894
38,312,122,-2642.72,0.6826
39,140,46,-876.42,0.6757
40,115,45,-815.52,0.6690
41,163,53,-1013.82,0.6623
42,105,39,-677.12,0.6557
43,142,48,-889.02,0.6491
44,238,82,-1711.82,0.6426
45,147,53,-1015.72,0.6362
46,206,74,-1511.72,0.6298
47,158,58,-1126.22,0.6235
48,178,58,-1122.62,0.6173
49,143,59,-1131.02,0.6111
50,101,27,-433.62,0.6050
51,137,43,-788.92,0.5990
52,347,123,-2756.22,0.5930
53,146,50,-923.32,0.5870
54,143,43,-810.62,0.5812
55,127,41,-735.72,0.5754
56,222,62,-1317.82,0.5696
57,123,35,-623.42,0.5639
58,151,45,-866.02,0.5583
59,186,58,-1162.32,0.5527
60,168,54,-1039.52,0.5472
61,235,75,-1565.02,0.5417
62,192,60,-1235.52,0.5363
63,138,40,-764.62,0.5309
64,177,61,-1201.82,0.5256
65,116,32,-547.32,0.5203
66,156,50,-945.12,0.5151
67,115,37,-645.52,0.5100
68,83,27,-423.02,0.5049
69,140,46,-869.22,0.4998
70,163,43,-813.22,0.4948
71,130,28,-523.02,0.4899
72,125,37,-669.02,0.4850
73,135,33,-590.92,0.4801
74,131,43,-775.72,0.4753
75,106,34,-577.82,0.4706
76,140,42,-773.12,0.4659
77,72,16,-204.12,0.4612
78,137,39,-764.92,0.4566
79,86,28,-450.32,0.4520
80,87,29,-468.52,0.4475
81,142,44,-844.62,0.4430
82,97,25,-395.82,0.4386
83,194,42,-842.62,0.4342
84,192,48,-992.62,0.4299
85,98,20,-304.52,0.4256
86,89,23,-349.82,0.4213
87,112,20,-373.52,0.4171
88,105,23,-363.32,0.4129
89,71,9,-65.02,0.4088
90,79,19,-264.52,0.4047
91,81,17,-229.52,0.4007
92,135,35,-647.42,0.3967
93,81,15,-186.02,0.3927
94,75,19,-263.92,0.3888
95,103,13,-198.42,0.3849
96,103,27,-436.72,0.3810
97,84,12,-133.22,0.3772
98,144,32,-568.02,0.3735
99,73,13,-145.42,0.3697
100,90,14,-181.82,0.3660
101,68,6,-3.12,0.3624
102,87,19,-270.82,0.3587
103,100,20,-318.02,0.3552
104,97,25,-404.22,0.3516
105,74,16,-208.22,0.3481
106,81,17,-227.02,0.3446
107,67,11,-103.12,0.3412
108,80,16,-207.42,0.3378
109,74,16,-204.62,0.3344
110,99,23,-367.42,0.3310
111,95,21,-324.52,0.3277
112,83,21,-313.42,0.3244
113,79,13,-146.92,0.3212
114,98,18,-257.62,0.3180
115,78,16,-206.82,0.3148
116,80,18,-244.72,0.3117
117,102,14,-177.62,0.3085
118,64,6,-1.92,0.3055
119,67,7,-22.72,0.3024
120,60,10,-80.32,0.2994
121,103,17,-295.52,0.2964
122,70,12,-124.62,0.2934
123,87,19,-276.72,0.2905
124,96,20,-291.12,0.2876
125,82,20,-286.82,0.2847
126,108,16,-241.42,0.2819
127,67,7,-21.32,0.2790
128,80,12,-134.02,0.2763
129,77,13,-148.52,0.2735
130,104,18,-257.92,0.2708
131,78,10,-87.82,0.2680
132,64,4,36.68,0.2654
133,61,9,-62.22,0.2627
134,82,14,-170.12,0.2601
135,125,23,-457.92,0.2575
136,105,15,-213.32,0.2549
137,96,12,-140.12,0.2524
138,111,23,-398.72,0.2498
139,62,6,-1.42,0.2473
140,65,9,-62.32,0.2449
141,54,6,-0.02,0.2424
142,78,12,-126.32,0.2400
143,78,14,-168.52,0.2376
144,88,14,-196.52,0.2352
145,69,11,-107.82,0.2329
146,73,13,-144.52,0.2305
147,80,14,-171.02,0.2282
148,78,12,-132.22,0.2259
149,54,2,79.28,0.2237
150,61,7,-22.72,0.2215
151,67,11,-102.92,0.2192
152,142,20,-358.62,0.2170
153,130,14,-217.22,0.2149
154,91,15,-195.22,0.2127
155,90,16,-223.12,0.2106
156,65,7,-24.92,0.2085
157,67,11,-103.82,0.2064
158,85,11,-132.62,0.2043
159,80,10,-91.02,0.2023
160,76,10,-85.72,0.2003
161,84,16,-211.32,0.1983
162,68,10,-83.42,0.1963
163,73,13,-146.32,0.1943
164,66,8,-46.12,0.1924
165,66,10,-85.62,0.1905
166,64,10,-81.22,0.1886
167,60,6,-0.92,0.1867
168,75,5,6.38,0.1848
169,97,15,-221.52,0.1830
170,82,8,-46.92,0.1811
171,60,2,77.48,0.1793
172,83,13,-159.32,0.1775
173,65,9,-62.62,0.1757
174,82,8,-60.92,0.1740
175,66,8,-43.22,0.1722
176,75,11,-107.32,0.1705
177,66,8,-56.32,0.1688
178,70,6,-9.72,0.1671
179,68,6,-3.82,0.1655
180,131,17,-327.07,0.1638
