episode,steps,hit_count,total_reward,epsilon
1,3042,1614,-36534.67,0.9950
2,1706,984,-22752.87,0.9900
3,1376,732,-16443.67,0.9851
4,593,305,-6747.37,0.9801
5,1056,572,-12936.87,0.9752
6,1349,715,-16392.77,0.9704
7,2486,1322,-30175.07,0.9655
8,575,323,-7168.97,0.9607
9,1751,917,-20926.77,0.9559
10,256,144,-3218.87,0.9511
11,1923,975,-22410.27,0.9464
12,1164,598,-13718.67,0.9416
13,1577,793,-17975.77,0.9369
14,153,67,-1314.37,0.9322
15,504,262,-6002.97,0.9276
16,1675,821,-18803.07,0.9229
17,828,404,-8972.67,0.9183
18,1009,523,-11992.37,0.9137
19,636,304,-6797.87,0.9092
20,645,331,-7656.67,0.9046
21,379,197,-4292.17,0.9001
22,299,141,-2952.07,0.8956
23,720,344,-7767.47,0.8911
24,135,63,-1258.17,0.8867
25,340,176,-3908.87,0.8822
26,475,209,-4557.27,0.8778
27,995,463,-10487.97,0.8734
28,1053,499,-11248.67,0.8691
29,349,157,-3330.97,0.8647
30,128,60,-1169.37,0.8604
31,179,81,-1708.07,0.8561
32,307,137,-2929.07,0.8518
33,240,114,-2352.17,0.8475
34,844,398,-9274.87,0.8433
35,211,93,-1924.47,0.8391
36,126,50,-945.07,0.8349
37,155,65,-1281.27,0.8307
38,173,75,-1546.87,0.8266
39,392,172,-3881.37,0.8224
40,150,62,-1235.67,0.8183
41,298,124,-2698.67,0.8142
42,197,95,-2003.57,0.8102
43,548,244,-5419.17,0.8061
44,231,101,-2074.67,0.8021
45,378,162,-3595.07,0.7981
46,195,83,-1713.57,0.7941
47,177,75,-1554.17,0.7901
48,126,60,-1175.27,0.7862
49,255,113,-2441.97,0.7822
50,179,75,-1492.97,0.7783
51,181,93,-1937.57,0.7744
52,142,68,-1336.97,0.7705
53,236,100,-2107.07,0.7667
54,181,83,-1817.67,0.7629
55,99,39,-699.07,0.7590
56,172,64,-1298.77,0.7553
57,123,47,-892.77,0.7515
58,104,42,-784.87,0.7477
59,92,30,-511.97,0.7440
60,196,78,-1597.07,0.7403
61,188,76,-1575.97,0.7366
62,112,40,-752.07,0.7329
63,87,33,-569.47,0.7292
64,169,71,-1443.47,0.7256
65,173,61,-1228.97,0.7219
66,123,55,-1072.67,0.7183
67,204,72,-1472.87,0.7147
68,211,85,-1812.87,0.7112
