episode,steps,hit_count,total_reward,epsilon
1,7225,4045,-92351.82,0.9900
2,7539,4039,-91583.80,0.9801
3,2546,1364,-31408.62,0.9703
4,3504,1874,-42533.02,0.9606
5,7288,3884,-88901.66,0.9510
6,1564,790,-17564.22,0.9415
7,1804,928,-21057.62,0.9321
8,1608,810,-18365.62,0.9227
9,3198,1584,-36165.92,0.9135
10,3076,1524,-35110.42,0.9044
11,2848,1424,-32410.92,0.8953
12,1582,746,-17069.32,0.8864
13,820,434,-9649.32,0.8775
14,956,480,-10831.02,0.8687
15,3209,1543,-35499.72,0.8601
16,1320,618,-13921.82,0.8515
17,1121,541,-12427.42,0.8429
18,495,237,-5168.22,0.8345
19,758,348,-7686.12,0.8262
20,769,359,-8074.02,0.8179
21,1613,703,-16524.72,0.8097
22,798,360,-8145.82,0.8016
23,636,296,-6656.72,0.7936
24,745,329,-7446.22,0.7857
25,827,353,-7814.32,0.7778
26,936,388,-9300.52,0.7700
27,449,201,-4350.32,0.7623
28,357,145,-3019.62,0.7547
29,292,126,-2555.62,0.7472
30,382,158,-3326.42,0.7397
31,298,118,-2441.82,0.7323
32,393,171,-3652.02,0.7250
33,342,134,-2858.12,0.7177
34,310,110,-2292.22,0.7106
35,310,128,-2615.22,0.7034
36,340,130,-2742.52,0.6964
37,282,112,-2265.22,0.6894
38,261,95,-1925.42,0.6826
39,296,112,-2272.02,0.6757
40,330,110,-2319.22,0.6690
41,294,116,-2443.82,0.6623
42,268,100,-2025.52,0.6557
43,315,115,-2467.42,0.6491
44,215,81,-1581.82,0.6426
45,368,138,-3072.42,0.6362
46,250,74,-1527.32,0.6298
47,226,74,-1512.02,0.6235
48,197,69,-1349.02,0.6173
49,384,136,-2920.32,0.6111
50,224,76,-1481.32,0.6050
51,337,99,-2146.72,0.5990
52,195,63,-1200.62,0.5930
53,227,85,-1698.22,0.5870
54,209,71,-1370.12,0.5812
55,167,51,-937.12,0.5754
56,287,105,-2166.22,0.5696
57,248,74,-1456.62,0.5639
58,162,50,-916.32,0.5583
59,361,89,-2026.92,0.5527
60,226,68,-1400.42,0.5472
61,275,77,-1661.62,0.5417
62,1018,306,-7697.72,0.5363
63,231,71,-1404.32,0.5309
64,149,39,-681.52,0.5256
65,201,59,-1153.22,0.5203
66,156,44,-784.02,0.5151
67,317,93,-2001.22,0.5100
68,181,45,-842.82,0.5049
69,209,65,-1252.12,0.4998
70,194,48,-928.52,0.4948
71,376,104,-2552.52,0.4899
72,208,72,-1428.32,0.4850
73,150,38,-657.52,0.4801
74,340,114,-2740.72,0.4753
75,141,31,-528.92,0.4706
76,181,47,-932.32,0.4659
77,196,52,-1050.92,0.4612
78,203,65,-1286.52,0.4566
79,180,48,-785.42,0.4520
80,200,62,-1283.62,0.4475
81,249,59,-1239.02,0.4430
82,206,60,-1209.22,0.4386
83,176,38,-712.22,0.4342
84,133,37,-630.42,0.4299
85,207,57,-1125.12,0.4256
86,225,57,-1170.32,0.4213
87,143,27,-446.72,0.4171
88,227,57,-1162.72,0.4129
89,188,52,-1022.32,0.4088
90,271,75,-1680.92,0.4047
91,386,94,-2334.62,0.4007
92,186,38,-764.52,0.3967
93,228,50,-1061.12,0.3927
94,250,58,-1426.52,0.3888
95,242,62,-1453.82,0.3849
96,293,69,-1704.92,0.3810
97,126,26,-414.92,0.3772
98,295,77,-1965.52,0.3735
99,404,84,-2333.12,0.3697
100,235,55,-1120.42,0.3660
101,243,53,-1235.92,0.3624
102,293,61,-1565.62,0.3587
103,328,74,-2070.22,0.3552
104,182,32,-704.32,0.3516
105,136,30,-548.02,0.3481
106,181,37,-788.72,0.3446
107,158,34,-601.02,0.3412
108,122,28,-449.92,0.3378
109,149,27,-459.32,0.3344
110,127,27,-437.32,0.3310
111,393,77,-2786.42,0.3277
112,297,49,-1339.22,0.3244
113,153,33,-573.82,0.3212
114,125,25,-393.52,0.3180
115,126,32,-531.42,0.3148
116,140,28,-466.92,0.3117
117,116,20,-287.42,0.3085
118,130,20,-312.22,0.3055
119,126,20,-303.22,0.3024
120,119,21,-320.12,0.2994
121,168,26,-518.92,0.2964
122,125,19,-297.42,0.2934
123,155,23,-400.62,0.2905
124,141,25,-413.32,0.2876
125,218,40,-1032.72,0.2847
126,125,21,-319.82,0.2819
127,201,37,-932.92,0.2790
128,102,18,-240.42,0.2763
129,126,16,-226.22,0.2735
130,126,16,-233.32,0.2708
131,132,20,-310.52,0.2680
132,130,22,-349.82,0.2654
133,98,16,-200.22,0.2627
134,90,8,-38.72,0.2601
135,114,24,-378.32,0.2575
136,132,16,-245.32,0.2549
137,104,22,-321.82,0.2524
138,129,29,-482.52,0.2498
139,119,15,-228.42,0.2473
140,108,18,-242.92,0.2449
141,88,10,-78.12,0.2424
142,109,15,-186.92,0.2400
143,97,17,-224.32,0.2376
144,114,20,-302.42,0.2352
145,144,24,-395.22,0.2329
146,104,20,-283.32,0.2305
147,122,28,-457.42,0.2282
148,124,12,-139.22,0.2259
149,93,9,-58.12,0.2237
150,97,13,-139.62,0.2215
151,117,13,-152.52,0.2192
152,117,17,-252.42,0.2170
153,109,15,-187.52,0.2149
154,133,17,-269.12,0.2127
155,146,22,-397.72,0.2106
156,101,11,-104.92,0.2085
157,110,18,-252.02,0.2064
158,120,12,-168.12,0.2043
159,95,11,-98.42,0.2023
160,88,10,-77.52,0.2003
161,86,4,42.08,0.1983
162,91,9,-59.42,0.1963
163,92,12,-118.82,0.1943
164,79,3,62.48,0.1924
165,109,21,-204.72,0.1905
166,85,5,22.08,0.1886
167,99,11,-106.82,0.1867
168,107,15,-198.02,0.1848
169,107,13,-143.52,0.1830
170,100,14,-160.92,0.1811
171,155,21,-397.52,0.1793
172,101,13,-246.22,0.1775
173,88,10,-77.52,0.1757
174,93,11,-99.02,0.1740
175,87,9,-57.72,0.1722
176,113,11,-115.62,0.1705
177,87,9,-57.22,0.1688
178,92,14,-157.22,0.1671
179,82,4,42.58,0.1655
180,81,5,22.48,0.1638
181,87,5,20.98,0.1622
182,96,10,-80.32,0.1605
183,104,8,-52.02,0.1589
184,91,5,21.18,0.1574
185,91,3,58.78,0.1558
186,88,10,-77.72,0.1542
187,96,8,-46.02,0.1527
188,82,4,42.58,0.1512
189,86,10,-77.52,0.1496
190,98,8,-40.72,0.1481
191,87,9,-58.02,0.1467
192,82,6,2.78,0.1452
193,91,7,-18.32,0.1437
194,88,8,-37.62,0.1423
195,90,6,-0.42,0.1409
196,84,4,42.28,0.1395
197,96,8,-40.62,0.1381
198,96,14,-161.22,0.1367
199,85,9,-57.52,0.1353
200,82,6,2.78,0.1340
201,90,8,-38.22,0.1326
202,87,7,-18.22,0.1313
