episode,steps,hit_count,total_reward,epsilon
1,4358,2372,-55688.47,0.9900
2,917,521,-12186.07,0.9801
3,410,222,-4884.87,0.9703
4,1566,850,-19650.82,0.9606
5,1697,875,-20307.67,0.9510
6,764,394,-8741.87,0.9415
7,548,290,-6347.12,0.9321
8,406,190,-4104.02,0.9227
9,322,166,-3553.37,0.9135
10,321,155,-3257.17,0.9044
11,374,184,-3978.07,0.8953
12,221,113,-2291.02,0.8864
13,466,224,-5044.22,0.8775
14,307,151,-3302.02,0.8687
15,328,158,-3395.97,0.8601
16,284,122,-2661.52,0.8515
17,291,119,-2564.52,0.8429
18,207,87,-1733.42,0.8345
19,222,96,-1949.72,0.8262
20,172,76,-1526.17,0.8179
21,242,98,-2035.12,0.8097
22,225,103,-2103.52,0.8016
23,159,73,-1448.77,0.7936
24,177,85,-1683.92,0.7857
25,183,77,-1552.62,0.7778
26,289,129,-2774.42,0.7700
27,137,55,-1034.87,0.7623
28,136,50,-926.42,0.7547
29,195,73,-1476.42,0.7472
30,138,54,-1016.02,0.7397
31,138,46,-844.42,0.7323
32,112,40,-699.82,0.7250
33,123,53,-968.72,0.7177
34,175,63,-1241.32,0.7106
35,109,41,-737.32,0.7034
36,112,38,-663.67,0.6964
37,127,39,-696.87,0.6894
38,133,53,-994.62,0.6826
39,131,57,-1054.22,0.6757
40,88,32,-532.52,0.6690
41,135,49,-915.07,0.6623
42,96,34,-576.42,0.6557
43,90,30,-493.02,0.6491
44,134,46,-848.07,0.6426
45,117,49,-901.07,0.6362
46,105,35,-594.82,0.6298
47,140,48,-897.32,0.6235
48,98,28,-459.67,0.6173
49,112,38,-688.52,0.6111
50,115,43,-766.97,0.6050
51,97,27,-434.17,0.5990
52,174,70,-1364.97,0.5930
53,134,40,-723.92,0.5870
54,89,31,-509.52,0.5812
55,103,33,-560.57,0.5754
56,107,37,-648.67,0.5696
57,113,35,-620.62,0.5639
58,76,22,-326.67,0.5583
59,97,33,-558.32,0.5527
60,92,30,-497.67,0.5472
61,83,25,-386.87,0.5417
62,120,36,-642.57,0.5363
63,84,26,-414.52,0.5309
64,103,33,-566.37,0.5256
65,78,24,-365.12,0.5203
66,71,21,-304.62,0.5151
67,92,28,-453.32,0.5100
68,114,40,-701.17,0.5049
69,76,18,-244.17,0.4998
70,93,27,-441.32,0.4948
71,81,27,-429.12,0.4899
72,86,26,-408.22,0.4850
73,68,12,-122.87,0.4801
74,79,23,-344.37,0.4753
75,85,29,-470.72,0.4706
76,96,30,-507.22,0.4659
77,87,25,-387.67,0.4612
78,80,26,-407.22,0.4566
79,76,18,-245.07,0.4520
80,68,16,-202.02,0.4475
81,71,15,-183.12,0.4430
82,90,28,-450.12,0.4386
83,109,27,-448.32,0.4342
84,70,12,-122.92,0.4299
85,86,24,-371.12,0.4256
86,68,10,-83.67,0.4213
87,73,19,-264.62,0.4171
88,89,23,-350.12,0.4129
89,79,19,-271.92,0.4088
90,85,23,-348.97,0.4047
91,62,14,-161.82,0.4007
92,63,11,-102.62,0.3967
93,71,17,-224.22,0.3927
94,71,21,-301.92,0.3888
95,69,17,-222.02,0.3849
96,65,11,-101.82,0.3810
97,68,16,-203.82,0.3772
98,64,12,-122.07,0.3735
99,83,21,-311.37,0.3697
100,68,12,-123.12,0.3660
101,77,15,-184.07,0.3624
102,64,14,-161.62,0.3587
103,76,16,-208.92,0.3552
104,69,13,-144.97,0.3516
105,67,11,-104.97,0.3481
106,72,18,-244.57,0.3446
107,65,15,-181.02,0.3412
108,72,18,-245.42,0.3378
109,60,12,-120.02,0.3344
110,80,24,-373.37,0.3310
111,81,21,-307.07,0.3277
112,63,15,-181.52,0.3244
113,73,19,-264.02,0.3212
114,75,21,-305.47,0.3180
115,64,10,-82.72,0.3148
116,72,16,-203.87,0.3117
117,63,11,-102.32,0.3085
118,55,7,-20.32,0.3055
119,63,13,-141.62,0.3024
120,62,8,-41.52,0.2994
121,58,10,-80.32,0.2964
122,61,11,-101.32,0.2934
123,56,8,-40.32,0.2905
124,54,6,-0.02,0.2876
125,66,12,-122.72,0.2847
126,57,5,19.78,0.2819
127,67,11,-102.87,0.2790
128,58,10,-80.32,0.2763
129,63,11,-103.52,0.2735
130,60,8,-42.02,0.2708
131,63,11,-101.42,0.2680
132,65,17,-223.32,0.2654
133,58,8,-40.72,0.2627
134,76,18,-246.62,0.2601
135,64,12,-120.52,0.2575
136,58,6,-1.42,0.2549
137,53,5,19.98,0.2524
138,57,9,-60.32,0.2498
139,53,5,19.68,0.2473
140,56,8,-40.02,0.2449
141,64,12,-122.32,0.2424
142,59,9,-61.02,0.2400
143,63,9,-62.47,0.2376
144,56,6,-0.12,0.2352
145,60,10,-80.72,0.2329
146,51,3,59.68,0.2305
147,57,9,-60.02,0.2282
148,61,9,-62.02,0.2259
149,56,8,-40.02,0.2237
150,56,6,-0.72,0.2215
151,52,4,39.98,0.2192
152,55,5,19.28,0.2170
153,60,10,-80.42,0.2149
154,55,5,18.98,0.2127
155,59,9,-61.02,0.2106
156,53,5,19.98,0.2085
157,55,7,-20.02,0.2064
158,59,7,-20.82,0.2043
159,64,10,-83.97,0.2023
160,66,6,-3.42,0.2003
161,57,7,-21.02,0.1983
162,59,9,-61.62,0.1963
163,54,4,39.88,0.1943
164,52,4,39.98,0.1924
165,56,6,-0.72,0.1905
166,52,4,39.98,0.1886
167,54,6,-0.02,0.1867
168,54,6,-0.02,0.1848
169,56,8,-40.32,0.1830
170,55,5,18.98,0.1811
171,60,6,-2.47,0.1793
172,58,4,38.08,0.1775
173,57,9,-61.22,0.1757
174,55,3,58.88,0.1740
175,55,7,-20.02,0.1722
176,58,4,38.48,0.1705
177,53,3,59.28,0.1688
178,59,9,-61.32,0.1671
179,56,2,78.78,0.1655
180,62,10,-83.02,0.1638
181,55,5,19.28,0.1622
182,58,6,-1.12,0.1605
183,54,4,39.58,0.1589
184,52,2,79.58,0.1574
185,51,3,59.98,0.1558
186,56,6,-0.12,0.1542
187,59,7,-20.52,0.1527
188,52,4,39.98,0.1512
189,51,3,59.98,0.1496
190,54,6,-0.02,0.1481
191,54,6,-0.32,0.1467
192,58,6,-1.42,0.1452
