episode,steps,hit_count,total_reward
1,726,0,-850.37
2,296,0,445.20
3,410,0,357.99
4,464,0,334.01
5,184,0,501.50
6,92,0,554.71
7,112,0,542.71
8,92,0,554.73
9,144,0,524.65
10,128,0,529.68
11,126,0,530.83
12,246,0,453.79
13,84,0,562.34
14,58,0,574.44
15,186,0,487.33
16,56,0,576.46
17,66,0,567.73
18,40,0,585.24
19,34,0,588.56
20,64,0,571.20
21,184,0,489.87
22,130,0,526.28
23,86,0,558.81
24,96,0,549.98
25,88,0,558.65
26,56,0,576.27
27,84,0,555.02
28,76,0,563.11
29,62,0,572.44
30,36,0,587.99
31,60,0,571.29
32,42,0,583.11
33,112,0,535.33
34,186,0,488.16
35,70,0,563.91
36,70,0,564.71
37,100,0,544.50
38,136,0,515.08
39,84,0,552.51
40,552,0,237.40
41,464,0,289.80
42,378,0,346.32
43,92,0,51.87
44,42,0,582.96
45,64,0,570.58
46,38,0,586.64
47,28,0,592.73
48,50,0,577.96
49,44,0,581.88
50,36,0,588.36
51,46,0,580.72
52,120,0,531.00
53,726,0,-1010.64
54,386,0,336.90
55,432,0,313.19
56,60,0,571.28
57,60,0,570.41
58,38,0,586.52
59,28,0,592.67
60,34,0,588.62
61,62,0,569.60
62,54,0,575.75
63,186,0,479.64
64,56,0,575.14
65,56,0,575.70
66,50,0,579.90
67,38,0,586.46
68,46,0,583.42
69,30,0,591.34
70,40,0,584.18
71,42,0,584.77
72,60,0,571.09
73,62,0,571.83
74,54,0,574.38
75,38,0,587.72
76,72,0,564.53
77,32,0,589.95
78,44,0,583.58
79,40,0,586.22
80,94,0,551.00
81,32,0,591.14
82,36,0,587.50
83,32,0,590.72
84,114,0,534.13
85,70,0,563.96
86,34,0,588.05
87,42,0,585.03
88,50,0,577.41
89,46,0,580.59
90,68,0,567.68
91,40,0,585.93
92,176,0,493.10
93,252,0,432.87
94,94,0,551.87
95,32,0,589.89
96,180,0,490.83
97,382,0,344.11
98,32,0,589.95
99,258,0,435.75
100,214,0,469.10
